이름,업종,전화번호,주소,평점,휴일
해녀식당  ,한식-해물요리,(064) 783-4158,제주 제주시 구좌읍 동복리 1647,3.9,목요일휴무
어머니빵집  ,베이커리,(064) 752-1281,제주 제주시 연동 2325-7 연동한일씨티파크,4.0,연중무휴
황금어장  ,한식-해물요리,(064) 748-8989,제주 제주시 연동 294-114,3.9,명절
오르막가든  ,한식-삼겹살,(064) 738-7755,제주 서귀포시 대포동 743-3,4.0,"2,4주수요일휴무"
중문조림식당  ,한식-해물요리,(064) 738-2139,제주 서귀포시 중문동 2116-1,3.4,연중무휴
삐꼴라쿠치나(PICCOLA CUCINA)  ,양식-이탈리아음식,(064) 787-9844,제주 제주시 애월읍 유수암리 1306-1,4.2,매주 수요일
기똥차네  ,한식-해물요리,(064) 782-7766,제주 서귀포시 성산읍 성산리 234-12,4.1,연중무휴
올레안뜰  ,카페/주점-카페,(064) 738-7720,제주 서귀포시 법환동 229,3.9,목요일휴무
삼성혈해물탕  ,한식-해물요리,(064) 745-3000,제주 제주시 연동 312-27,4.0,연중무휴
금뽕똘향토음식점  ,한식-일반한식,(064) 721-1111,제주 제주시 봉개동 1907-7,4.3,연중무휴
고등어쌈밥  ,한식-해물요리,(064) 783-4944,제주 서귀포시 성산읍 고성리 232,4.1,연중무휴
제주오라성  ,한식(말고기전문점),(064) 748-3005,제주 제주시 오라2동 194-2,4.0,"명절 전, 명절 당일"
해오름식당  ,한식(갈비전문점),(064) 744-0367,제주 제주시 도두일동 1181-5,3.8,"1,3주화요일휴무"
삿뽀로우동집  ,일식-우동,(064) 732-5931,제주 서귀포시 서귀동 428,4.3,일요일휴무
할매추어탕  ,한식,(064) 753-9080,제주 제주시 이도이동 1029-1,4.1,연중무휴
카페물고기  ,카페/주점-카페,(070) 8147-0804,제주 서귀포시 안덕면 창천리 804,3.9,매주 월요일 휴무
신해바라기  ,한식-일반한식,(064) 757-3277,제주 제주시 이도일동 1342-4,4.1,연중무휴
정우말가든  ,한식-몸보신(말고기전문),(064) 747-6525,제주 제주시 연동 505-5,3.7,연중무휴
엄블랑짬뽕  ,중식-일반,(064) 773-8883,제주 제주시 한경면 고산리 1727,3.5,월요일휴무
춘심이네 본점  ,한식-해물요리,(064) 794-4010,제주 서귀포시 안덕면 창천리 160-4,4.0,연중무휴
먹쿠슬낭여행자카페  ,카페/주점-카페,(064) 747-0360,제주 제주시 오라삼동 2319-8,3.8,-
올랭이와물꾸럭  ,한식,(064) 794-5022,제주 서귀포시 대정읍 하모리 920-5,3.2,연중무휴
짱구분식  ,분식,(064) 762-6389,제주 서귀포시 서귀동 254-2,3.8,연중무휴
예그리나  ,카페/주점-카페,(010) 9958-5735,제주 제주시 용담이동 450,4.0,연중무휴
클럽하우스(켄싱턴제주호텔)  ,카페/주점-바,(064) 735-8908,제주 서귀포시 색달동 2785,4.2,연중무휴
탑동산호전복  ,한식,(064) 758-0123,제주 제주시 삼도이동 1206,4.0,연중무휴
바다의집  ,한식-해물요리,(064) 784-8882,제주 서귀포시 성산읍 오조리 366-1,3.7,연중무휴
카페델문도(Cafe Delmoondo)  ,카페/주점-카페,(064) 702-0007,제주 제주시 조천읍 함덕리 1008-1,3.9,연중무휴
