,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
2,별도봉오리사냥,별도봉오리사냥제주특별자치도 제주시 별도봉길 7,일반음식점,한식,제주특별자치도 제주시 별도봉길 7,https://pcmap.place.naver.com/restaurant/1175295311/review/visitor#
3,오조파스타앤피자,오조파스타앤피자제주특별자치도 제주시 구좌읍 해녀박물관길 30,일반음식점,기타,제주특별자치도 제주시 구좌읍 해녀박물관길 30,https://pcmap.place.naver.com/restaurant/36882244/review/visitor#
4,맛있는밥집,맛있는밥집제주특별자치도 제주시 애월읍 하광로 392,일반음식점,한식,제주특별자치도 제주시 애월읍 하광로 392,https://pcmap.place.naver.com/restaurant/1938752885/review/visitor#
5,구슬함박,구슬함박제주특별자치도 제주시 구좌읍 해맞이해안로 1460,일반음식점,경양식,제주특별자치도 제주시 구좌읍 해맞이해안로 1460,https://pcmap.place.naver.com/restaurant/1707615714/review/visitor#
6,낭만상사,낭만상사제주특별자치도 제주시 아란9길 22,일반음식점,분식,제주특별자치도 제주시 아란9길 22,https://pcmap.place.naver.com/restaurant/1090512551/review/visitor#
7,소원이,소원이제주특별자치도 제주시 아연로 306,일반음식점,한식,제주특별자치도 제주시 아연로 306,https://pcmap.place.naver.com/restaurant/1833455779/review/visitor#
8,푸라닭제주한림협재점,푸라닭제주한림협재점제주특별자치도 제주시 한림읍 명랑로 16-1,일반음식점,호프/통닭,제주특별자치도 제주시 한림읍 명랑로 16-1,https://pcmap.place.naver.com/restaurant/1567792687/review/visitor#
9,잘도식당,잘도식당제주특별자치도 제주시 중앙로15길 16,일반음식점,한식,제주특별자치도 제주시 중앙로15길 16,https://pcmap.place.naver.com/restaurant/1477861851/review/visitor#
11,비자림휴게소,비자림휴게소제주특별자치도 제주시 구좌읍 비자숲길 62,일반음식점,분식,제주특별자치도 제주시 구좌읍 비자숲길 62,https://pcmap.place.naver.com/restaurant/1163641210/review/visitor#
13,그륻,그륻제주특별자치도 제주시 한림읍 귀덕5길 33,일반음식점,한식,제주특별자치도 제주시 한림읍 귀덕5길 33,https://pcmap.place.naver.com/restaurant/1159551290/review/visitor#
15,달래네,달래네제주특별자치도 제주시 한경면 노을해안로 1160,일반음식점,한식,제주특별자치도 제주시 한경면 노을해안로 1160,https://pcmap.place.naver.com/restaurant/1244326126/review/visitor#
17,한라산뼈해장국,한라산뼈해장국제주특별자치도 제주시 서광로2길 11-24,일반음식점,한식,제주특별자치도 제주시 서광로2길 11-24,https://pcmap.place.naver.com/restaurant/1410016336/review/visitor#
18,회가서쪽에서뜨겠네,회가서쪽에서뜨겠네제주특별자치도 제주시 애월읍 애월로 12,일반음식점,한식,제주특별자치도 제주시 애월읍 애월로 12,https://pcmap.place.naver.com/restaurant/1776032984/review/visitor#
19,흙소담,흙소담제주특별자치도 제주시 구좌읍 해맞이해안로 2484,일반음식점,한식,제주특별자치도 제주시 구좌읍 해맞이해안로 2484,https://pcmap.place.naver.com/restaurant/1024575843/review/visitor#
20,서서방숯불닭갈비아라점,서서방숯불닭갈비아라점제주특별자치도 제주시 아란7길 3-3,일반음식점,한식,제주특별자치도 제주시 아란7길 3-3,https://pcmap.place.naver.com/restaurant/1456498108/review/visitor#
21,활어천국,활어천국제주특별자치도 제주시 서광로20길 31,일반음식점,일식,제주특별자치도 제주시 서광로20길 31,https://pcmap.place.naver.com/restaurant/1036754916/review/visitor#
22,이누팬,이누팬제주특별자치도 제주시 한경면 고산로 33-3,일반음식점,경양식,제주특별자치도 제주시 한경면 고산로 33-3,https://pcmap.place.naver.com/restaurant/1712576481/review/visitor#
23,청년주방,청년주방제주특별자치도 제주시 용남1길 16,일반음식점,한식,제주특별자치도 제주시 용남1길 16,https://pcmap.place.naver.com/restaurant/1963545916/review/visitor#
26,바다주옥,바다주옥제주특별자치도 제주시 한림읍 한림해안로 279,일반음식점,한식,제주특별자치도 제주시 한림읍 한림해안로 279,https://pcmap.place.naver.com/restaurant/1088110540/review/visitor#
27,쿰다카페,쿰다카페제주특별자치도 제주시 노형로 21,일반음식점,기타,제주특별자치도 제주시 노형로 21,https://pcmap.place.naver.com/restaurant/1523841384/review/visitor#
28,인자숯불갈비,인자숯불갈비제주특별자치도 제주시 원남6길 54,일반음식점,식육(숯불구이),제주특별자치도 제주시 원남6길 54,https://pcmap.place.naver.com/restaurant/1941184682/review/visitor#
29,무한질주,무한질주제주특별자치도 제주시 광양10길 5,일반음식점,정종/대포집/소주방,제주특별자치도 제주시 광양10길 5,https://pcmap.place.naver.com/restaurant/1107970171/review/visitor#
