Column1,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
0,카페송키,카페송키제주특별자치도 제주시 무근성안길 16,일반음식점,기타,제주특별자치도 제주시 무근성안길 16,
1,그림책방앤카페노란우산,그림책방앤카페노란우산제주특별자치도 제주시 애월읍 하광로 515,일반음식점,기타,제주특별자치도 제주시 애월읍 하광로 515,
2,에릭스에스프레소,에릭스에스프레소제주특별자치도 제주시 구좌읍 구좌로 77,일반음식점,기타,제주특별자치도 제주시 구좌읍 구좌로 77,
3,일품순두부한림점,일품순두부한림점제주특별자치도 제주시 한림읍 한림상로 237,일반음식점,한식,제주특별자치도 제주시 한림읍 한림상로 237,
4,팔도실비집아라점,팔도실비집아라점제주특별자치도 제주시 중앙로 581,일반음식점,식육(숯불구이),제주특별자치도 제주시 중앙로 581,
5,봉플라봉뱅,봉플라봉뱅제주특별자치도 제주시 문송1길 6-1,일반음식점,기타,제주특별자치도 제주시 문송1길 6-1,
6,아라포차,아라포차제주특별자치도 제주시 중앙로 573,일반음식점,정종/대포집/소주방,제주특별자치도 제주시 중앙로 573,
7,가빈거래처,가빈거래처제주특별자치도 제주시 산천단동2길 13,일반음식점,기타,제주특별자치도 제주시 산천단동2길 13,
8,스톤아일랜드탭하우스,스톤아일랜드탭하우스제주특별자치도 제주시 삼무로7길 16,일반음식점,기타,제주특별자치도 제주시 삼무로7길 16,
9,레게펍,,일반음식점,기타,,
10,옹포분식,옹포분식제주특별자치도 제주시 한림읍 월계로 15,일반음식점,기타,제주특별자치도 제주시 한림읍 월계로 15,
11,연두랑고갈비,연두랑고갈비제주특별자치도 제주시 도남로 107-2,일반음식점,한식,제주특별자치도 제주시 도남로 107-2,
12,협재더꽃돈본점,협재더꽃돈본점제주특별자치도 제주시 한림읍 한림로 366,일반음식점,기타,제주특별자치도 제주시 한림읍 한림로 366,
13,우차도리,우차도리제주특별자치도 제주시 건주로6길 42,일반음식점,기타,제주특별자치도 제주시 건주로6길 42,
14,철판구이삼다돈외도점,철판구이삼다돈외도점제주특별자치도 제주시 우정로 44,일반음식점,식육(숯불구이),제주특별자치도 제주시 우정로 44,
15,와르다레스토랑,와르다레스토랑제주특별자치도 제주시 관덕로8길 24-1,일반음식점,기타,제주특별자치도 제주시 관덕로8길 24-1,
16,길섶나그네,길섶나그네제주특별자치도 제주시 조천읍 미래로 241,일반음식점,한식,제주특별자치도 제주시 조천읍 미래로 241,
17,사랑뜰,사랑뜰제주특별자치도 제주시 한림읍 한림로 662-1,일반음식점,기타,제주특별자치도 제주시 한림읍 한림로 662-1,
18,불티나네,불티나네제주특별자치도 제주시 애월읍 가문동상2길 29-7,일반음식점,기타,제주특별자치도 제주시 애월읍 가문동상2길 29-7,
19,수니테이블,수니테이블제주특별자치도 제주시 구좌읍 문주란로 33-1,일반음식점,분식,제주특별자치도 제주시 구좌읍 문주란로 33-1,
20,연화양꼬치,연화양꼬치제주특별자치도 제주시 연동8길 28,일반음식점,중국식,제주특별자치도 제주시 연동8길 28,
21,돈대표,돈대표제주특별자치도 제주시 조천읍 함덕로 20,일반음식점,기타,제주특별자치도 제주시 조천읍 함덕로 20,
22,예쁘게즐겁게,예쁘게즐겁게제주특별자치도 제주시 구좌읍 월정3길 14,일반음식점,기타,제주특별자치도 제주시 구좌읍 월정3길 14,
23,황금손가락한림점,황금손가락한림점제주특별자치도 제주시 한림읍 한림해안로 275,일반음식점,일식,제주특별자치도 제주시 한림읍 한림해안로 275,
24,24시누름돌김치찌개,24시누름돌김치찌개제주특별자치도 제주시 노연로 146,일반음식점,기타,제주특별자치도 제주시 노연로 146,
25,선흘바람,선흘바람제주특별자치도 제주시 조천읍 선교로 571,일반음식점,기타,제주특별자치도 제주시 조천읍 선교로 571,
26,이돈갓아라점,이돈갓아라점제주특별자치도 제주시 인다10길 36,일반음식점,기타,제주특별자치도 제주시 인다10길 36,
27,바삭돈가스삼화점,바삭돈가스삼화점제주특별자치도 제주시 화삼로 7,일반음식점,경양식,제주특별자치도 제주시 화삼로 7,
28,제주도모퉁이스낵연회장,제주도모퉁이스낵연회장제주특별자치도 제주시 한림읍 일주서로 5673,일반음식점,기타,제주특별자치도 제주시 한림읍 일주서로 5673,
29,남궁누들앤카페,남궁누들앤카페제주특별자치도 제주시 한림읍 한림중앙로 46,일반음식점,기타,제주특별자치도 제주시 한림읍 한림중앙로 46,
30,한림피그농원,한림피그농원제주특별자치도 제주시 한림읍 한수풀로2길 31,일반음식점,기타,제주특별자치도 제주시 한림읍 한수풀로2길 31,
31,하도39,하도39제주특별자치도 제주시 구좌읍 해맞이해안로 1766-14,일반음식점,기타,제주특별자치도 제주시 구좌읍 해맞이해안로 1766-14,
32,옥성식당,옥성식당제주특별자치도 제주시 동광로1길 32,일반음식점,기타,제주특별자치도 제주시 동광로1길 32,
33,제주마당,제주마당제주특별자치도 제주시 도리로 50,일반음식점,기타,제주특별자치도 제주시 도리로 50,
34,공산명월,공산명월제주특별자치도 제주시 애월읍 광령평화3길 18,일반음식점,기타,제주특별자치도 제주시 애월읍 광령평화3길 18,
35,대붕정,대붕정제주특별자치도 제주시 조천읍 선교로 571,일반음식점,한식,제주특별자치도 제주시 조천읍 선교로 571,
36,미연이네집,미연이네집제주특별자치도 제주시 삼무로7길 34,일반음식점,기타,제주특별자치도 제주시 삼무로7길 34,
37,영화루,영화루제주특별자치도 제주시 사장길 15-1,일반음식점,중국식,제주특별자치도 제주시 사장길 15-1,
38,맥주창고,맥주창고제주특별자치도 제주시 도남로 40,일반음식점,기타,제주특별자치도 제주시 도남로 40,
39,성두길일오포차,성두길일오포차제주특별자치도 제주시 성두길 15,일반음식점,기타,제주특별자치도 제주시 성두길 15,
40,흑돼지세끼,흑돼지세끼제주특별자치도 제주시 아연로 440,일반음식점,식육(숯불구이),제주특별자치도 제주시 아연로 440,
41,램하우스,램하우스제주특별자치도 제주시 조천읍 교래1길 45,일반음식점,기타,제주특별자치도 제주시 조천읍 교래1길 45,
42,살레안의고깃,살레안의고깃제주특별자치도 제주시 월산남길 110,일반음식점,기타,제주특별자치도 제주시 월산남길 110,
43,쉬멍해장국,쉬멍해장국제주특별자치도 제주시 구남로4길 8-12,일반음식점,한식,제주특별자치도 제주시 구남로4길 8-12,
44,우도청정식당,우도청정식당제주특별자치도 제주시 우도면 우도해안길 804,일반음식점,한식,제주특별자치도 제주시 우도면 우도해안길 804,
45,사쿠라미치,사쿠라미치제주특별자치도 제주시 전농로 48-1,일반음식점,호프/통닭,제주특별자치도 제주시 전농로 48-1,
46,하누가물애,하누가물애제주특별자치도 제주시 조천읍 중산간동로 669,일반음식점,기타,제주특별자치도 제주시 조천읍 중산간동로 669,
47,앤드앤드,앤드앤드제주특별자치도 제주시 연동4길 28-16,일반음식점,기타,제주특별자치도 제주시 연동4길 28-16,
48,향기마라탕오리전문점,향기마라탕오리전문점제주특별자치도 제주시 중앙로 140,일반음식점,중국식,제주특별자치도 제주시 중앙로 140,
49,짱돌,짱돌제주특별자치도 제주시 일주서로 7326,일반음식점,기타,제주특별자치도 제주시 일주서로 7326,
50,인추자커피앤민박,인추자커피앤민박제주특별자치도 제주시 추자면 추자로 20-1,일반음식점,기타,제주특별자치도 제주시 추자면 추자로 20-1,
51,혜안,혜안제주특별자치도 제주시 해안마을10길 39,일반음식점,기타,제주특별자치도 제주시 해안마을10길 39,
52,수빈이네제주밥상,수빈이네제주밥상제주특별자치도 제주시 사라봉7길 31-1,일반음식점,한식,제주특별자치도 제주시 사라봉7길 31-1,
53,안녕하샌,안녕하샌제주특별자치도 제주시 구좌읍 월정3길 53-15,일반음식점,호프/통닭,제주특별자치도 제주시 구좌읍 월정3길 53-15,
54,응급실국물떡볶이제주이도점,응급실국물떡볶이제주이도점제주특별자치도 제주시 가령로4길 1,일반음식점,분식,제주특별자치도 제주시 가령로4길 1,
55,신촌도시락,신촌도시락제주특별자치도 제주시 조천읍 신북로 88,일반음식점,한식,제주특별자치도 제주시 조천읍 신북로 88,
56,사랑방포차,사랑방포차제주특별자치도 제주시 한림읍 한림중앙로 14,일반음식점,한식,제주특별자치도 제주시 한림읍 한림중앙로 14,
57,돈삼겹직영5호점,돈삼겹직영5호점제주특별자치도 제주시 신설로9길 37,일반음식점,한식,제주특별자치도 제주시 신설로9길 37,
58,미미래,미미래제주특별자치도 제주시 용담로 94,일반음식점,기타,제주특별자치도 제주시 용담로 94,
59,티엔미미,티엔미미제주특별자치도 제주시 연동4길 8,일반음식점,기타,제주특별자치도 제주시 연동4길 8,
60,블랙,블랙제주특별자치도 제주시 서광로32길 37-5,일반음식점,기타,제주특별자치도 제주시 서광로32길 37-5,
61,호자,호자제주특별자치도 제주시 구좌읍 세화8길 7,일반음식점,한식,제주특별자치도 제주시 구좌읍 세화8길 7,
62,장전반점,장전반점제주특별자치도 제주시 애월읍 하소로 373,일반음식점,중국식,제주특별자치도 제주시 애월읍 하소로 373,
63,아하,아하제주특별자치도 제주시 은남1길 31,일반음식점,기타,제주특별자치도 제주시 은남1길 31,
