,Unnamed: 0,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,naver_map_url
0,1,파파야,일반음식점,기타,제주특별자치도 서귀포시 성산읍 성산리 230-22번지 ,https://pcmap.place.naver.com/restaurant/37890576/review/visitor#
1,2,당포회센타,일반음식점,회집,제주특별자치도 서귀포시 표선면 표선리 45-6번지 ,https://pcmap.place.naver.com/restaurant/1465642893/review/visitor#
2,3,해민이네양곱창,일반음식점,한식,제주특별자치도 서귀포시 법환동 737-3번지 ,https://pcmap.place.naver.com/restaurant/93708698/review/visitor#
3,4,농부의밥상,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 성산읍 수산리 669-3 ,https://pcmap.place.naver.com/restaurant/1122024164/review/visitor#
4,5,팔미돈가2호점,일반음식점,한식,제주특별자치도 서귀포시 성산읍 난산리 2625-4 ,https://pcmap.place.naver.com/restaurant/1136661174/review/visitor#
5,6,키다리네,일반음식점,기타,제주특별자치도 서귀포시 안덕면 화순리 991-4번지 1층 ,https://pcmap.place.naver.com/restaurant/1636682834/review/visitor#
6,7,소랑밥상,일반음식점,한식,제주특별자치도 서귀포시 남원읍 위미리 1878번지 ,https://pcmap.place.naver.com/restaurant/38591445/review/visitor#
7,8,상효올레집,일반음식점,한식,제주특별자치도 서귀포시 상효동 823-1번지 ,https://pcmap.place.naver.com/restaurant/582599548/review/visitor#
8,9,뽀르또,일반음식점,기타,제주특별자치도 서귀포시 남원읍 위미리 1767-4번지 1층 ,https://pcmap.place.naver.com/restaurant/34942163/review/visitor#
9,10,중문레지나김밥,일반음식점,한식,제주특별자치도 서귀포시 중문동 1949-3번지 ,https://pcmap.place.naver.com/restaurant/38310744/review/visitor#
10,11,예원회수산,일반음식점,회집,제주특별자치도 서귀포시 중문동 2011-4번지 ,https://pcmap.place.naver.com/restaurant/16928002/review/visitor#
11,12,불닭공장서귀포신시가지점,일반음식점,호프/통닭,제주특별자치도 서귀포시 강정동 177 대림상가102호 ,https://pcmap.place.naver.com/restaurant/1123084536/review/visitor#
12,13,통돌이돈통가,일반음식점,한식,제주특별자치도 서귀포시 표선면 세화리 669-5 ,https://pcmap.place.naver.com/restaurant/1130282337/review/visitor#
13,14,홍교,일반음식점,패밀리레스트랑,제주특별자치도 서귀포시 대정읍 하모리 694 ,https://pcmap.place.naver.com/restaurant/1281515072/review/visitor#
14,15,신산상회,일반음식점,기타,제주특별자치도 서귀포시 성산읍 신산리 1085-17번지 ,https://pcmap.place.naver.com/restaurant/1058593038/review/visitor#
15,16,팔도실비집신서귀포점,일반음식점,한식,제주특별자치도 서귀포시 법환동 737-3 ,https://pcmap.place.naver.com/restaurant/12948836/review/visitor#
16,17,전원일기동광점,일반음식점,한식,제주특별자치도 서귀포시 안덕면 동광리 853 1층 가동 ,https://pcmap.place.naver.com/restaurant/1600390812/review/visitor#
17,18,국수1번가,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 758-3번지 A동 ,https://pcmap.place.naver.com/restaurant/1626510153/review/visitor#
18,19,공가네구이촌,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 297-6 ,https://pcmap.place.naver.com/restaurant/1700703512/review/visitor#
19,20,사계의시간,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 132-2번지 ,https://pcmap.place.naver.com/restaurant/1297456747/review/visitor#
20,21,중문국수마을,일반음식점,한식,"제주특별자치도 서귀포시 중문동 2050-1번지 , 1층 ",https://pcmap.place.naver.com/restaurant/1176535831/review/visitor#
21,22,촌놈숯불구이,일반음식점,한식,제주특별자치도 서귀포시 강정동 2628-1 1층 ,https://pcmap.place.naver.com/restaurant/1053060237/review/visitor#
22,23,로트105,일반음식점,경양식,제주특별자치도 서귀포시 서호동 1464-2번지 ,https://pcmap.place.naver.com/restaurant/1804941282/review/visitor#
23,24,순대이야기,일반음식점,한식,제주특별자치도 서귀포시 동홍동 1189번지 ,https://pcmap.place.naver.com/restaurant/31734969/review/visitor#
24,25,미소녀,일반음식점,분식,제주특별자치도 서귀포시 성산읍 고성리 1134번지 ,https://pcmap.place.naver.com/restaurant/37653557/review/visitor#
25,26,슬기로운와인생활,일반음식점,한식,,https://pcmap.place.naver.com/restaurant/1569757450/review/visitor#
26,27,강정장원식당,일반음식점,한식,제주특별자치도 서귀포시 강정동 2787-5번지 1층 ,https://pcmap.place.naver.com/restaurant/37666767/review/visitor#
27,28,봄향기,일반음식점,한식,제주특별자치도 서귀포시 대정읍 신평리 80-1번지 ,https://pcmap.place.naver.com/restaurant/1955773694/review/visitor#
28,29,별맛해장국,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 176-4번지 ,https://pcmap.place.naver.com/restaurant/16943197/review/visitor#
29,30,새늘봄,일반음식점,까페,제주특별자치도 서귀포시 서귀동 276-13번지 ,https://pcmap.place.naver.com/restaurant/16970495/review/visitor#
30,31,코업시티호텔성산,일반음식점,뷔페식,"제주특별자치도 서귀포시 성산읍 성산리 250 1,2층 ",https://pcmap.place.naver.com/restaurant/1236944819/review/visitor#
31,32,정직한통닭중문점,일반음식점,호프/통닭,제주특별자치도 서귀포시 중문동 1714-1번지 ,https://pcmap.place.naver.com/restaurant/603484231/review/visitor#
32,33,미향해장국성산점,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 1098-1번지 ,https://pcmap.place.naver.com/restaurant/37898247/review/visitor#
33,34,블라제,일반음식점,한식,제주특별자치도 서귀포시 표선면 가시리 3171번지 ,https://pcmap.place.naver.com/restaurant/12917695/review/visitor#
34,35,묵전,일반음식점,한식,제주특별자치도 서귀포시 대정읍 상모리 126-1번지 ,https://pcmap.place.naver.com/restaurant/483967513/review/visitor#
35,36,88버거,일반음식점,경양식,제주특별자치도 서귀포시 서귀동 255-9번지 ,https://pcmap.place.naver.com/restaurant/37698735/review/visitor#
36,37,동홍옛날통닭,일반음식점,호프/통닭,제주특별자치도 서귀포시 동홍동 106-5번지 ,https://pcmap.place.naver.com/restaurant/37920408/review/visitor#
37,38,대윤흑돼지,일반음식점,중국식,제주특별자치도 서귀포시 서귀동 306-4 ,https://pcmap.place.naver.com/restaurant/97127451/review/visitor#
38,39,우석촌,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 강정동 1914-1번지 ,https://pcmap.place.naver.com/restaurant/37747010/review/visitor#
39,40,호텔휴식서귀포,일반음식점,기타,제주특별자치도 서귀포시 서귀동 308-2번지 ,https://pcmap.place.naver.com/restaurant/1058525972/review/visitor#
40,41,사삼구번길,일반음식점,한식,제주특별자치도 서귀포시 서귀동 536-2번지 ,https://pcmap.place.naver.com/restaurant/270578238/review/visitor#
41,42,우사미,일반음식점,일식,제주특별자치도 서귀포시 대정읍 하모리 2136-4번지 ,https://pcmap.place.naver.com/restaurant/38446427/review/visitor#
42,43,명품동막골식당,일반음식점,한식,제주특별자치도 서귀포시 안덕면 화순리 1073-2번지 ,https://pcmap.place.naver.com/restaurant/37004956/review/visitor#
43,44,어랭이나라,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 257-10번지 ,https://pcmap.place.naver.com/restaurant/1659349111/review/visitor#
44,45,탐관오리,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 443번지 1층 ,https://pcmap.place.naver.com/restaurant/16943698/review/visitor#
45,46,일산바지락손칼국수,일반음식점,한식,제주특별자치도 서귀포시 성산읍 신천리 465-2번지 ,https://pcmap.place.naver.com/restaurant/1892887534/review/visitor#
46,47,오동도아구찜,일반음식점,한식,"제주특별자치도 서귀포시 서귀동 279-5번지 , 1층 ",https://pcmap.place.naver.com/restaurant/1374334089/review/visitor#
47,48,면맛에입맛이좋아,일반음식점,분식,제주특별자치도 서귀포시 성산읍 수산리 251-1번지 ,https://pcmap.place.naver.com/restaurant/1349786099/review/visitor#
48,49,유박사참숯갈비,일반음식점,한식,"제주특별자치도 서귀포시 서호동 1552-4번지 , 1층 ",https://pcmap.place.naver.com/restaurant/1937983380/review/visitor#
49,50,흑도세기숯불친구,일반음식점,한식,제주특별자치도 서귀포시 동홍동 1303 ,https://pcmap.place.naver.com/restaurant/16915693/review/visitor#
50,51,제주민주공화국,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 2032-34 ,https://pcmap.place.naver.com/restaurant/1121813285/review/visitor#
51,52,봉기네깡통구이,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 338-3번지 ,https://pcmap.place.naver.com/restaurant/1180683480/review/visitor#
52,53,올레칠돈,일반음식점,한식,제주특별자치도 서귀포시 월평동 476-7번지 ,https://pcmap.place.naver.com/restaurant/37687253/review/visitor#
53,54,이가곰탕,일반음식점,한식,제주특별자치도 서귀포시 안덕면 창천리 777-12번지 ,https://pcmap.place.naver.com/restaurant/36660377/review/visitor#
54,55,정체불명,일반음식점,일식,제주특별자치도 서귀포시 성산읍 삼달리 453-3번지 ,https://pcmap.place.naver.com/restaurant/1282162525/review/visitor#
55,56,미로객잔,일반음식점,한식,제주특별자치도 서귀포시 표선면 가시리 3017번지 ,https://pcmap.place.naver.com/restaurant/35575795/review/visitor#
56,57,다미야 서귀포점,일반음식점,정종/대포집/소주방,제주특별자치도 서귀포시 서홍동 377-11 ,https://pcmap.place.naver.com/restaurant/38458924/review/visitor#
57,58,코데인커피로스터스,일반음식점,기타,제주특별자치도 서귀포시 안덕면 사계리 2880-3번지 ,https://pcmap.place.naver.com/restaurant/1225129827/review/visitor#
58,59,육지것들,일반음식점,한식,"제주특별자치도 서귀포시 중문동 2128-1번지 A동 5,6호",https://pcmap.place.naver.com/restaurant/1018645495/review/visitor#
59,60,통족중문점,일반음식점,한식,제주특별자치도 서귀포시 중문동 1655-9번지 ,https://pcmap.place.naver.com/restaurant/1757476526/review/visitor#
60,61,소희네뚝배기식당,일반음식점,한식,제주특별자치도 서귀포시 성산읍 오조리 369-1번지 ,https://pcmap.place.naver.com/restaurant/16949508/review/visitor#
61,62,장어먹엉갑소,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 780-1번지 ,https://pcmap.place.naver.com/restaurant/1279219529/review/visitor#
62,63,중문조림식당,일반음식점,한식,제주특별자치도 서귀포시 중문동 2116-1번지 ,https://pcmap.place.naver.com/restaurant/16927205/review/visitor#
63,64,하여사국수,일반음식점,한식,제주특별자치도 서귀포시 서귀동 272-1번지 ,https://pcmap.place.naver.com/restaurant/1012228579/review/visitor#
64,65,일송회수산,일반음식점,회집,제주특별자치도 서귀포시 남원읍 위미리 1760-3번지 ,https://pcmap.place.naver.com/restaurant/13286289/review/visitor#
65,66,솔동산스토리,일반음식점,기타,제주특별자치도 서귀포시 서귀동 608-2번지 ,https://pcmap.place.naver.com/restaurant/19945266/review/visitor#
66,67,쿡1015동홍점,일반음식점,한식,제주특별자치도 서귀포시 동홍동 357-7번지 ,https://pcmap.place.naver.com/restaurant/1760756861/review/visitor#
67,68,고망난돌민박가든,일반음식점,한식,제주특별자치도 서귀포시 성산읍 신천리 79번지 ,https://pcmap.place.naver.com/restaurant/21627312/review/visitor#
68,69,오돈가,일반음식점,중국식,제주특별자치도 서귀포시 서귀동 154번지 ,https://pcmap.place.naver.com/restaurant/1243094217/review/visitor#
69,70,원조한라산갈비,일반음식점,한식,제주특별자치도 서귀포시 서귀동 313-10번지 ,https://pcmap.place.naver.com/restaurant/1088852141/review/visitor#
70,71,옛날통닭중문점,일반음식점,한식,제주특별자치도 서귀포시 중문동 1949-5번지 ,https://pcmap.place.naver.com/restaurant/37885146/review/visitor#
71,72,꺼멍목장,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 하원동 1633-2번지 ,https://pcmap.place.naver.com/restaurant/466851716/review/visitor#
72,73,바리골식당,일반음식점,기타,제주특별자치도 서귀포시 성산읍 고성리 298-10번지 ,https://pcmap.place.naver.com/restaurant/1689615980/review/visitor#
73,74,런던1972,일반음식점,호프/통닭,제주특별자치도 서귀포시 상예동 1757-7번지 ,https://pcmap.place.naver.com/restaurant/273888967/review/visitor#
74,75,용순이네,일반음식점,한식,제주특별자치도 서귀포시 성산읍 성산리 140-4번지 1층 ,https://pcmap.place.naver.com/restaurant/937596281/review/visitor#
75,76,리촐리,일반음식점,경양식,제주특별자치도 서귀포시 서호동 356번지 1층 ,https://pcmap.place.naver.com/restaurant/1777854789/review/visitor#
76,77,상구통닭제주영어교육도시점,일반음식점,기타,제주특별자치도 서귀포시 대정읍 구억리 1004 ,https://pcmap.place.naver.com/restaurant/1232725695/review/visitor#
77,78,천지연전복해물뚝배기갈치요리전문,일반음식점,회집,제주특별자치도 서귀포시 서홍동 678번지 ,https://pcmap.place.naver.com/restaurant/16918507/review/visitor#
78,79,네거리식당,일반음식점,한식,제주특별자치도 서귀포시 서귀동 320-9 ,https://pcmap.place.naver.com/restaurant/19873758/review/visitor#
79,80,부부동원식당,일반음식점,한식,제주특별자치도 서귀포시 성산읍 신산리 1100-2번지 ,https://pcmap.place.naver.com/restaurant/1963437984/review/visitor#
80,81,더웨이팅,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 1470 ,https://pcmap.place.naver.com/restaurant/1029848471/review/visitor#
81,82,한옥집돈삼겹,일반음식점,한식,"제주특별자치도 서귀포시 강정동 207-15번지 ,1층 ",https://pcmap.place.naver.com/restaurant/1250134759/review/visitor#
82,83,박초밥안덕점,일반음식점,한식,"제주특별자치도 서귀포시 안덕면 창천리 153-6 ,1층 ",https://pcmap.place.naver.com/restaurant/1409270802/review/visitor#
83,84,위미항활어회센터,일반음식점,횟집,제주특별자치도 서귀포시 남원읍 위미리 1757-12 ,https://pcmap.place.naver.com/restaurant/37873378/review/visitor#
84,85,신촌수제비,일반음식점,한식,제주특별자치도 서귀포시 서귀동 408-7번지 ,https://pcmap.place.naver.com/restaurant/16966762/review/visitor#
85,86,중문시민갈비,일반음식점,한식,제주특별자치도 서귀포시 중문동 2163-3번지 ,https://pcmap.place.naver.com/restaurant/37632235/review/visitor#
86,87,흑돈퍼주는집,일반음식점,한식,제주특별자치도 서귀포시 강정동 4400-11 ,https://pcmap.place.naver.com/restaurant/16930412/review/visitor#
87,88,우리마식당,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 687-3번지 ,https://pcmap.place.naver.com/restaurant/16963502/review/visitor#
88,89,물허벅집,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 830-1번지 ,https://pcmap.place.naver.com/restaurant/19886231/review/visitor#
89,90,땡겨불닭,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 256-20번지 ,https://pcmap.place.naver.com/restaurant/1285349686/review/visitor#
90,91,오버더윈도우,일반음식점,기타,제주특별자치도 서귀포시 서귀동 446-3번지 ,https://pcmap.place.naver.com/restaurant/38310210/review/visitor#
91,92,꼬동꼬동,일반음식점,기타,제주특별자치도 서귀포시 남원읍 위미리 165-4번지 ,https://pcmap.place.naver.com/restaurant/1581736406/review/visitor#
92,93,나그네분식,일반음식점,분식,제주특별자치도 서귀포시 성산읍 고성리 1179-2번지 ,https://pcmap.place.naver.com/restaurant/16952435/review/visitor#
93,94,고은물식당,일반음식점,한식,제주특별자치도 서귀포시 안덕면 화순리 645-1 ,https://pcmap.place.naver.com/restaurant/13069371/review/visitor#
94,95,막걸리한잔,일반음식점,한식,제주특별자치도 서귀포시 중문동 1430-4 ,https://pcmap.place.naver.com/restaurant/1091713364/review/visitor#
95,96,멋진녀석들,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 41번지 ,https://pcmap.place.naver.com/restaurant/38325571/review/visitor#
96,97,속풀이해장국,일반음식점,호프/통닭,제주특별자치도 서귀포시 표선면 표선리 851번지 ,https://pcmap.place.naver.com/restaurant/38710958/review/visitor#
97,98,시골촌,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 1106-24번지 ,https://pcmap.place.naver.com/restaurant/16952091/review/visitor#
98,99,미성원,일반음식점,횟집,제주특별자치도 서귀포시 표선면 표선리 609 ,https://pcmap.place.naver.com/restaurant/38275426/review/visitor#
99,100,남원흑돼지연탄골목,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 2317-20 ,https://pcmap.place.naver.com/restaurant/1805575346/review/visitor#
100,101,운정이네본점,일반음식점,한식,제주특별자치도 서귀포시 중문동 1239-5번지 ,https://pcmap.place.naver.com/restaurant/36876360/review/visitor#
101,102,어랑어랑,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 2032-23번지 ,https://pcmap.place.naver.com/restaurant/1806845838/review/visitor#
102,103,온평바다한그릇,일반음식점,호프/통닭,제주특별자치도 서귀포시 성산읍 온평리 1192-1번지 ,https://pcmap.place.naver.com/restaurant/1397321112/review/visitor#
103,104,로컬크랩,일반음식점,기타,제주특별자치도 서귀포시 표선면 하천리 2011 ,https://pcmap.place.naver.com/restaurant/307299913/review/visitor#
104,105,1958빈티지,일반음식점,기타,제주특별자치도 서귀포시 대정읍 보성리 441번지 ,https://pcmap.place.naver.com/restaurant/1886055164/review/visitor#
105,106,참치코지,일반음식점,일식,제주특별자치도 서귀포시 강정동 208-7번지 2층 202호,https://pcmap.place.naver.com/restaurant/1867563356/review/visitor#
106,107,본죽엔비빔밥까페제주강정점,일반음식점,한식,제주특별자치도 서귀포시 강정동 208-1번지 ,https://pcmap.place.naver.com/restaurant/1492822022/review/visitor#
107,108,기억나는집,일반음식점,한식,제주특별자치도 서귀포시 서귀동 486-4 ,https://pcmap.place.naver.com/restaurant/16966744/review/visitor#
108,109,동네포차앤치킨,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 332-59번지 ,https://pcmap.place.naver.com/restaurant/1021870508/review/visitor#
109,110,쇠소깍대박밥상,일반음식점,한식,제주특별자치도 서귀포시 남원읍 하례리 347-3번지 ,https://pcmap.place.naver.com/restaurant/191137085/review/visitor#
110,111,올댓비어,일반음식점,호프/통닭,제주특별자치도 서귀포시 대정읍 하모리 945-1번지 ,https://pcmap.place.naver.com/restaurant/21578094/review/visitor#
111,112,서귀포월드컵리조트,일반음식점,뷔페식,제주특별자치도 서귀포시 법환동 978 ,https://pcmap.place.naver.com/restaurant/36339515/review/visitor#
112,113,정원꼬리곰탕,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 1745-2번지 ,https://pcmap.place.naver.com/restaurant/37941877/review/visitor#
113,114,집밥풍년,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 1010-7번지 ,https://pcmap.place.naver.com/restaurant/1164213564/review/visitor#
114,115,스타트하우스,일반음식점,한식,제주특별자치도 서귀포시 안덕면 상천리 산 62-3번지 ,https://pcmap.place.naver.com/restaurant/34240640/review/visitor#
115,116,돈둥지,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 279-1번지 ,https://pcmap.place.naver.com/restaurant/38711079/review/visitor#
116,117,미향해장국표선점,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 1461-1 ,https://pcmap.place.naver.com/restaurant/37220592/review/visitor#
117,118,새연교횟집,일반음식점,회집,제주특별자치도 서귀포시 서귀동 633-4번지 ,https://pcmap.place.naver.com/restaurant/1513732864/review/visitor#
118,119,색달돈가,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 색달동 1875-5번지 ,https://pcmap.place.naver.com/restaurant/1929789003/review/visitor#
119,120,산동성,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 강정동 148-8 ,https://pcmap.place.naver.com/restaurant/1789890841/review/visitor#
120,121,흑사돈,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 500-1번지 ,https://pcmap.place.naver.com/restaurant/866050965/review/visitor#
121,122,최네집성산점,일반음식점,일식,제주특별자치도 서귀포시 성산읍 성산리 358-3번지 ,https://pcmap.place.naver.com/restaurant/1346498747/review/visitor#
122,123,영풍해장국,일반음식점,한식,제주특별자치도 서귀포시 대정읍 하모리 939-2번지 ,https://pcmap.place.naver.com/restaurant/37159321/review/visitor#
123,124,야자나라,일반음식점,기타,제주특별자치도 서귀포시 강정동 609-1번지 ,https://pcmap.place.naver.com/restaurant/1014453611/review/visitor#
124,125,김삿갓보쌈족발,일반음식점,한식,제주특별자치도 서귀포시 서귀동 295-45번지 ,https://pcmap.place.naver.com/restaurant/32048252/review/visitor#
125,126,나원회포차,일반음식점,회집,제주특별자치도 서귀포시 서귀동 254-6번지 ,https://pcmap.place.naver.com/restaurant/33210988/review/visitor#
126,127,권가네올레김밥,일반음식점,분식,제주특별자치도 서귀포시 서홍동 285-3번지 ,https://pcmap.place.naver.com/restaurant/1308745944/review/visitor#
127,128,토크쇼천지점,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 319-5번지 ,https://pcmap.place.naver.com/restaurant/44641390/review/visitor#
128,129,송가네참숯가든,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 1594번지 ,https://pcmap.place.naver.com/restaurant/13067987/review/visitor#
129,130,풍향가든,일반음식점,한식,제주특별자치도 서귀포시 강정동 851-5번지 ,https://pcmap.place.naver.com/restaurant/13392235/review/visitor#
130,131,금복주,일반음식점,한식,제주특별자치도 서귀포시 동홍동 357-7번지 ,https://pcmap.place.naver.com/restaurant/20777064/review/visitor#
131,132,만추,일반음식점,한식,제주특별자치도 서귀포시 강정동 5508번지 ,https://pcmap.place.naver.com/restaurant/1022315944/review/visitor#
132,133,동광가든,일반음식점,한식,제주특별자치도 서귀포시 안덕면 동광리 1588-1번지 ,https://pcmap.place.naver.com/restaurant/16959372/review/visitor#
133,134,바떼온,일반음식점,기타,제주특별자치도 서귀포시 남원읍 신흥리 90-1번지 ,https://pcmap.place.naver.com/restaurant/753671165/review/visitor#
134,135,송가네순대국밥,일반음식점,한식,제주특별자치도 서귀포시 회수동 441-2번지 ,https://pcmap.place.naver.com/restaurant/1069167800/review/visitor#
135,136,믿음정육식당,일반음식점,한식,제주특별자치도 서귀포시 서홍동 321-1 ,https://pcmap.place.naver.com/restaurant/1624618954/review/visitor#
136,137,소소담,일반음식점,한식,제주특별자치도 서귀포시 상효동 916-8 ,https://pcmap.place.naver.com/restaurant/1366051940/review/visitor#
137,138,청개구리식당,일반음식점,기타,제주특별자치도 서귀포시 대정읍 무릉리 815-5 ,https://pcmap.place.naver.com/restaurant/1275241663/review/visitor#
138,139,조선드립480,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 987-1번지 제10호 ,https://pcmap.place.naver.com/restaurant/1860699313/review/visitor#
139,140,글라몬딱,일반음식점,한식,,https://pcmap.place.naver.com/restaurant/882119676/review/visitor#
140,141,신례토종닭식당,일반음식점,한식,제주특별자치도 서귀포시 남원읍 신례리 2162-50번지 ,https://pcmap.place.naver.com/restaurant/20539567/review/visitor#
141,142,초계명가,일반음식점,한식,제주특별자치도 서귀포시 안덕면 창천리 885-5번지 ,https://pcmap.place.naver.com/restaurant/927182656/review/visitor#
142,143,산방흑돼지순대영어교육도시점,일반음식점,한식,제주특별자치도 서귀포시 대정읍 보성리 2476-10번지 B동 106호,https://pcmap.place.naver.com/restaurant/1776286598/review/visitor#
143,144,동호갈비,일반음식점,한식,제주특별자치도 서귀포시 중문동 2060-1 1층 ,https://pcmap.place.naver.com/restaurant/1593219127/review/visitor#
144,145,우리집정식,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 서홍동 290-21번지 ,https://pcmap.place.naver.com/restaurant/16918421/review/visitor#
