,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
0,카페송키,카페송키제주특별자치도 제주시 무근성안길 16,일반음식점,기타,제주특별자치도 제주시 무근성안길 16,https://pcmap.place.naver.com/restaurant/1333668157/review/visitor#
2,에릭스에스프레소,에릭스에스프레소제주특별자치도 제주시 구좌읍 구좌로 77,일반음식점,기타,제주특별자치도 제주시 구좌읍 구좌로 77,https://pcmap.place.naver.com/restaurant/1728932164/review/visitor#
3,일품순두부한림점,일품순두부한림점제주특별자치도 제주시 한림읍 한림상로 237,일반음식점,한식,제주특별자치도 제주시 한림읍 한림상로 237,https://pcmap.place.naver.com/restaurant/1284120911/review/visitor#
4,팔도실비집아라점,팔도실비집아라점제주특별자치도 제주시 중앙로 581,일반음식점,식육(숯불구이),제주특별자치도 제주시 중앙로 581,https://pcmap.place.naver.com/restaurant/1634334235/review/visitor#
5,봉플라봉뱅,봉플라봉뱅제주특별자치도 제주시 문송1길 6-1,일반음식점,기타,제주특별자치도 제주시 문송1길 6-1,https://pcmap.place.naver.com/restaurant/1713847517/review/visitor#
6,아라포차,아라포차제주특별자치도 제주시 중앙로 573,일반음식점,정종/대포집/소주방,제주특별자치도 제주시 중앙로 573,https://pcmap.place.naver.com/restaurant/1261655201/review/visitor#
8,스톤아일랜드탭하우스,스톤아일랜드탭하우스제주특별자치도 제주시 삼무로7길 16,일반음식점,기타,제주특별자치도 제주시 삼무로7길 16,https://pcmap.place.naver.com/restaurant/1244422132/review/visitor#
10,옹포분식,옹포분식제주특별자치도 제주시 한림읍 월계로 15,일반음식점,기타,제주특별자치도 제주시 한림읍 월계로 15,https://pcmap.place.naver.com/restaurant/1992357241/review/visitor#
11,연두랑고갈비,연두랑고갈비제주특별자치도 제주시 도남로 107-2,일반음식점,한식,제주특별자치도 제주시 도남로 107-2,https://pcmap.place.naver.com/restaurant/1604731338/review/visitor#
13,우차도리,우차도리제주특별자치도 제주시 건주로6길 42,일반음식점,기타,제주특별자치도 제주시 건주로6길 42,https://pcmap.place.naver.com/restaurant/1891477328/review/visitor#
15,와르다레스토랑,와르다레스토랑제주특별자치도 제주시 관덕로8길 24-1,일반음식점,기타,제주특별자치도 제주시 관덕로8길 24-1,https://pcmap.place.naver.com/restaurant/1690028833/review/visitor#
19,수니테이블,수니테이블제주특별자치도 제주시 구좌읍 문주란로 33-1,일반음식점,분식,제주특별자치도 제주시 구좌읍 문주란로 33-1,https://pcmap.place.naver.com/restaurant/1901662508/review/visitor#
20,연화양꼬치,연화양꼬치제주특별자치도 제주시 연동8길 28,일반음식점,중국식,제주특별자치도 제주시 연동8길 28,https://pcmap.place.naver.com/restaurant/1482063535/review/visitor#
21,돈대표,돈대표제주특별자치도 제주시 조천읍 함덕로 20,일반음식점,기타,제주특별자치도 제주시 조천읍 함덕로 20,https://pcmap.place.naver.com/restaurant/1105632765/review/visitor#
22,예쁘게즐겁게,예쁘게즐겁게제주특별자치도 제주시 구좌읍 월정3길 14,일반음식점,기타,제주특별자치도 제주시 구좌읍 월정3길 14,https://pcmap.place.naver.com/restaurant/1944476452/review/visitor#
23,황금손가락한림점,황금손가락한림점제주특별자치도 제주시 한림읍 한림해안로 275,일반음식점,일식,제주특별자치도 제주시 한림읍 한림해안로 275,https://pcmap.place.naver.com/restaurant/1016311144/review/visitor#
24,24시누름돌김치찌개,24시누름돌김치찌개제주특별자치도 제주시 노연로 146,일반음식점,기타,제주특별자치도 제주시 노연로 146,https://pcmap.place.naver.com/restaurant/1028483996/review/visitor#
26,이돈갓아라점,이돈갓아라점제주특별자치도 제주시 인다10길 36,일반음식점,기타,제주특별자치도 제주시 인다10길 36,https://pcmap.place.naver.com/restaurant/35765173/review/visitor#
27,바삭돈가스삼화점,바삭돈가스삼화점제주특별자치도 제주시 화삼로 7,일반음식점,경양식,제주특별자치도 제주시 화삼로 7,https://pcmap.place.naver.com/restaurant/1892851787/review/visitor#
28,제주도모퉁이스낵연회장,제주도모퉁이스낵연회장제주특별자치도 제주시 한림읍 일주서로 5673,일반음식점,기타,제주특별자치도 제주시 한림읍 일주서로 5673,https://pcmap.place.naver.com/restaurant/1682247440/review/visitor#
29,남궁누들앤카페,남궁누들앤카페제주특별자치도 제주시 한림읍 한림중앙로 46,일반음식점,기타,제주특별자치도 제주시 한림읍 한림중앙로 46,https://pcmap.place.naver.com/restaurant/1618504679/review/visitor#
30,한림피그농원,한림피그농원제주특별자치도 제주시 한림읍 한수풀로2길 31,일반음식점,기타,제주특별자치도 제주시 한림읍 한수풀로2길 31,https://pcmap.place.naver.com/restaurant/1975409615/review/visitor#
32,옥성식당,옥성식당제주특별자치도 제주시 동광로1길 32,일반음식점,기타,제주특별자치도 제주시 동광로1길 32,https://pcmap.place.naver.com/restaurant/1648434862/review/visitor#
33,제주마당,제주마당제주특별자치도 제주시 도리로 50,일반음식점,기타,제주특별자치도 제주시 도리로 50,https://pcmap.place.naver.com/restaurant/16789310/review/visitor#
34,공산명월,공산명월제주특별자치도 제주시 애월읍 광령평화3길 18,일반음식점,기타,제주특별자치도 제주시 애월읍 광령평화3길 18,https://pcmap.place.naver.com/restaurant/1509921260/review/visitor#
36,미연이네집,미연이네집제주특별자치도 제주시 삼무로7길 34,일반음식점,기타,제주특별자치도 제주시 삼무로7길 34,https://pcmap.place.naver.com/restaurant/1828695151/review/visitor#
37,영화루,영화루제주특별자치도 제주시 사장길 15-1,일반음식점,중국식,제주특별자치도 제주시 사장길 15-1,https://pcmap.place.naver.com/restaurant/1109507832/review/visitor#
38,맥주창고,맥주창고제주특별자치도 제주시 도남로 40,일반음식점,기타,제주특별자치도 제주시 도남로 40,https://pcmap.place.naver.com/restaurant/1465699297/review/visitor#
43,쉬멍해장국,쉬멍해장국제주특별자치도 제주시 구남로4길 8-12,일반음식점,한식,제주특별자치도 제주시 구남로4길 8-12,https://pcmap.place.naver.com/restaurant/13141898/review/visitor#
44,우도청정식당,우도청정식당제주특별자치도 제주시 우도면 우도해안길 804,일반음식점,한식,제주특별자치도 제주시 우도면 우도해안길 804,https://pcmap.place.naver.com/restaurant/1173725873/review/visitor#
45,사쿠라미치,사쿠라미치제주특별자치도 제주시 전농로 48-1,일반음식점,호프/통닭,제주특별자치도 제주시 전농로 48-1,https://pcmap.place.naver.com/restaurant/1305803209/review/visitor#
46,하누가물애,하누가물애제주특별자치도 제주시 조천읍 중산간동로 669,일반음식점,기타,제주특별자치도 제주시 조천읍 중산간동로 669,https://pcmap.place.naver.com/restaurant/367661523/review/visitor#
