,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
1,이스트힐스카페테리아,이스트힐스카페테리아제주특별자치도 제주시 조천읍 종인내길 323,일반음식점,한식,제주특별자치도 제주시 조천읍 종인내길 323,https://pcmap.place.naver.com/restaurant/1309166134/review/visitor#
3,큰맘할매순대국밥,큰맘할매순대국밥제주특별자치도 제주시 구남동5길 42 (아라이동),일반음식점,한식,제주특별자치도 제주시 구남동5길 42 (아라이동),https://pcmap.place.naver.com/restaurant/1987422309/review/visitor#
6,제주통큰장어,제주통큰장어제주특별자치도 제주시 청귤로3길 50 (이도이동),일반음식점,한식,제주특별자치도 제주시 청귤로3길 50 (이도이동),https://pcmap.place.naver.com/restaurant/32782551/review/visitor#
8,휴식공간,휴식공간제주특별자치도 제주시 한경면 낙수로 85,일반음식점,한식,제주특별자치도 제주시 한경면 낙수로 85,https://pcmap.place.naver.com/restaurant/1565713915/review/visitor#
9,숙이네국수,숙이네국수제주특별자치도 제주시 고마로 29,일반음식점,한식,제주특별자치도 제주시 고마로 29,https://pcmap.place.naver.com/restaurant/36835989/review/visitor#
10,세화리움,세화리움제주특별자치도 제주시 구좌읍 해녀박물관길 29,일반음식점,경양식,제주특별자치도 제주시 구좌읍 해녀박물관길 29,https://pcmap.place.naver.com/restaurant/37687260/review/visitor#
11,평대성게국수,평대성게국수제주특별자치도 제주시 구좌읍 해맞이해안로 1172,일반음식점,한식,제주특별자치도 제주시 구좌읍 해맞이해안로 1172,https://pcmap.place.naver.com/restaurant/36864711/review/visitor#
15,미양양,미양양제주특별자치도 제주시 도남로 62,일반음식점,식육(숯불구이),제주특별자치도 제주시 도남로 62,https://pcmap.place.naver.com/restaurant/1543358916/review/visitor#
16,장우보양탕,장우보양탕제주특별자치도 제주시 신산로 42 (일도이동),일반음식점,탕류(보신용),제주특별자치도 제주시 신산로 42 (일도이동),https://pcmap.place.naver.com/restaurant/16690540/review/visitor#
18,하귀1629,하귀1629제주특별자치도 제주시 애월읍 하귀12길 22,일반음식점,기타,제주특별자치도 제주시 애월읍 하귀12길 22,https://pcmap.place.naver.com/restaurant/934516195/review/visitor#
19,로우허판,로우허판제주특별자치도 제주시 성신로 15,일반음식점,중국식,제주특별자치도 제주시 성신로 15,https://pcmap.place.naver.com/restaurant/654375866/review/visitor#
21,오늘은고기한림점,오늘은고기한림점제주특별자치도 제주시 한림읍 한림중앙로 46,일반음식점,식육(숯불구이),제주특별자치도 제주시 한림읍 한림중앙로 46,https://pcmap.place.naver.com/restaurant/1434191204/review/visitor#
22,금자매포차,금자매포차제주특별자치도 제주시 비월길 3,일반음식점,한식,제주특별자치도 제주시 비월길 3,https://pcmap.place.naver.com/restaurant/1165998291/review/visitor#
