Column1,name,keyword,content,tags,address
0,성산일출봉(UNESCO 세계자연유산),자연,"방문전에는 전화 등을 통해 이용방법을 미리 확인하라는 안내에 따라, 9월 15일 오전에 전화로 문의드렸습니다. 당시 전화를 받았던 여직원은 여태 태어나서 만나 본 사람 중에 가장 예의없고 무례한 사람이었습니다. 처음에는 제 전화나 말투가 혹시 상대방이 불쾌하다고 느낄 것이었나 여러번 생각을 해보기도 했네요. 전화를 받을 때부터 화난 목소리에 불친절한 말투. 리뷰를 보니 이미 여러번 불친절하다고 말이 많던 여직원 이었네요. 몇 년 만에 여행이었기에 기분이 상하고 싶지 않아 인생에 화가 많은 안타까운 분이구나하고 넘어갑니다. 다만, 이직 혹은 직원교육은 꼭 필요해 보입니다.","['#불친절', '#직원교육', '#여직원']",제주특별자치도 서귀포시 성산읍 성산리 1
1,성산일출봉(UNESCO 세계자연유산),자연,유네스코 성산일출봉입니다 세계의중심 제주도 입니다??,"['#제주도', '#유네스코', '#세계문화유산']",제주특별자치도 서귀포시 성산읍 성산리 1
2,성산일출봉(UNESCO 세계자연유산),자연,"경치도 아름답고 자연도 좋고, 언제 가도 좋은 곳이긴 합니다. 하지만 이번 방문 때 7월 땡볕 아래서 승마 체험을 하고 있는 모습을 보고, 계속 불편한 마음이 들어 글 남깁니다. 7월 중순의 성산일출봉은 조금만 올라가도 땀이 비오듯 쏟아질만큼 덥습니다. 그런데 그 무더위 아래서 말 2마리가 사람을 등에 태우고 승마 체험을 하는 모습이 솔직히 보기 좋지는 않았습니다. 성산일출봉 한가운데 말들이 걸어다니는 그런 모습을 보면, 자연과 동물과 인간이 어우러져 아름답다는 느낌을 가장 먼저 받아야하는데 그보다는 말들이 너무 힘들겠다는 생각만 들만큼, 말들이 많이 지쳐보였습니다. 말은 근육량 비율과 골격근 숫자가 시람보다 높아서 더위에 훨씬 취약한 동물이라고 합니다. 승마 체험 자체를 비난할 수는 없겠지만, 무더위 철만이라도 조금 더 시원한 장소에서 체험을 했으면 좋겠습니다. 그게 어렵다면 말들이 사람을 태우지 않고 쉴 때만이라도 말들에게 햇빛을 피할 수 있는 그늘막과 얼음팩을 제공해줬으면 합니다. 천막 하나 없이 햇볕 아래 말들을 세워두는 건 정말 아닌 것 같다는 생각이 듭니다. 성산일출봉은 자연과 인간의 조화와 거기에서 오는 평화가 무척 매력적인 관광지인데, 오늘 본 두 마리 말의 기운없는 모습은 정말 이질적인 풍경이었습니다. 말들이 이 더운 여름을 잘 이겨낼 수 있도록 모쪼록 빠른 대응 부탁드리겠습니다.","['##여름', '##걷기', '##가족']",제주특별자치도 서귀포시 성산읍 성산리 1
3,성산일출봉(UNESCO 세계자연유산),자연,성산일출봉 자체는 좋았는데.... 코로나라고 물품보관소는 도대체 왜 닫은 걸까요ㅠ 뚜벅이들은 전혀 고려하지 않은걸까요..... 무거운 짐 들고 진심 너무 당황했어요. 방역수칙 지키며 물품보관함 열어주심 좋겠네요 꼭 부탇드려요!,"['#봄', '#힐링', '#혼자']",제주특별자치도 서귀포시 성산읍 성산리 1
4,성산일출봉(UNESCO 세계자연유산),자연,매표소 여직원 너무 불친절 기분 나쁘네요 자연유산에서 일하는분이면 기본예의부터 배우세요 광치기해변찾다 여기로가게되서 물어보니 상관없는곳이라고 말투자체가 너무 불친절 코로나풀리면 외국인관광객한테 창피할정도네요 다른업종을 하든지 정말 기분나쁩니다. 다신 안가고싶네요,"['##성산 #직원 #교육이든 바꾸시든', '#여름', '#봄', '#걷기']",제주특별자치도 서귀포시 성산읍 성산리 1
5,성산일출봉(UNESCO 세계자연유산),자연,전화받는데 무슨 현숙? 그분 전화받기 싫으시면 업종 변경 바랍니다.,"['#응대', '#불친절', '#교육']",제주특별자치도 서귀포시 성산읍 성산리 1
6,성산일출봉(UNESCO 세계자연유산),자연,정말 넘 이뻤어요~ 또가고싶네요,"['#봄', '#힐링', '#체험']",제주특별자치도 서귀포시 성산읍 성산리 1
7,성산일출봉(UNESCO 세계자연유산),자연,장관은 말이 필요없을 정도로 아름다웠습니다. 하지만 제가 별을 두 개 뺀 이유는 세계 문화 유산인데 누가 안에서 과자를 먹고 있더라구요? 음식물 반입금지 아닌가요? 안에서 음식 먹고 있는 사람들을 보니 너무 불편했습니다 입구에서 음식물 검사를 할거면 제대로 해주시길 바랍니다. 보이는 것만 잡으려 하지 마시고 다른 조치를 취해주시길 바랍니다.,"['#성산일출봉', '#음식물', '#반입금지']",제주특별자치도 서귀포시 성산읍 성산리 1
8,성산일출봉(UNESCO 세계자연유산),자연,겨울바다 성산일출봉 앞 해녀,"['#성산일출봉', '#제주해녀', '#해녀']",제주특별자치도 서귀포시 성산읍 성산리 1
9,성산일출봉(UNESCO 세계자연유산),자연,흐린 날이면 성산일출봉은 더욱 신비스러워진다. 들리는 건 빗소리와 바람소리뿐. 사람들도 말이 없다.,"['##제주컬러어택', '#성산일출봉', '#흐린날에는일출봉에가야한다']",제주특별자치도 서귀포시 성산읍 성산리 1
10,성산일출봉(UNESCO 세계자연유산),자연,일출봉 올라오는길에 내려다본 장관~,"['#제주컬러어택', '#성산일출봉', '#레드그린블루']",제주특별자치도 서귀포시 성산읍 성산리 1
11,성산일출봉(UNESCO 세계자연유산),자연,아이들과 처음가본 제주도! 그중 꼭 가보고 싶었던 성산일출봉에서 아이들과 함께 바라본 제주의 가을은 평생 잊지못할 추억이 될것 같습니다,"['#제주가을', '#성산일출봉', '#가을여행']",제주특별자치도 서귀포시 성산읍 성산리 1
12,성산일출봉(UNESCO 세계자연유산),자연,제주도 고기국수 먹고 성산일출봉 오르고 한라봉쥬스 먹고 사진도 찍고 가을제주 최고!,"['#제주가을', '#성산일출봉', '#제주고기국수']",제주특별자치도 서귀포시 성산읍 성산리 1
13,성산일출봉(UNESCO 세계자연유산),자연,제주 성산일출봉 올라갔다왔네요 하지만 망원경의 경우 동전을 넣어도 전혀 작동하지 않는 고장난 상태였다는걸 중국 관광객이 오히려 저희에게 알려주더군요 어찌나 창피던지 입장료 받아서 올라오는데 이런 시설물 조차 관리도 못하고 고장나서 사용하지 말라는 문구도 전혀 없고 이럴거면 입장료를 왜 받나 싶더라구요~ 또한 중간에 있는 화장실도 청결상태가 너무 엉망이고 전등도 나가서 들어오지 않아 어두컴컴하고 돌아가는건 환풍기 뿐이네요 관리가 시급하다고 봅니다,"['#여름', '#가을', '#힐링', '#가족', '#가족여행', '##창피함']",제주특별자치도 서귀포시 성산읍 성산리 1
14,성산일출봉(UNESCO 세계자연유산),자연,"그날 날씨가 좋아서 풍경이 진짜 아름답다 ,그리고 거기에서 해녀쇼를 볼 수 있다!!!","['#성산일출봉', '#해물', '#돌하르방']",제주특별자치도 서귀포시 성산읍 성산리 1
15,성산일출봉(UNESCO 세계자연유산),자연,성산일출봉 나의 친한친구 아이들과 함께 올라가서 사진찍었네요.이제는 좀더 커버린 울 수빈.수연이 또다시 가자~~,"['#5월엔제주', '#성산일출봉', '#세계문화유산', '#제주도']",제주특별자치도 서귀포시 성산읍 성산리 1
16,성산일출봉(UNESCO 세계자연유산),자연,가족들과 처음으로 제주여행 다녀왔습니다 날씨는 4일동안 흐리거나 비ㅠㅠ 아쉽지만 즐거운 여행이었다습니다.,"['##5월엔제주 #성산일출봉 #가족여행', '#성산일출봉', '#가족들과 처음으로 제주여행 다녀왔습니다 날씨는 4일동안 흐리거나 비ㅠㅠ 아쉽지만 즐거운 여행이었다습니다.']",제주특별자치도 서귀포시 성산읍 성산리 1
17,성산일출봉(UNESCO 세계자연유산),자연,"#제주여행 #제주의가을 #성산일출봉 #제주추천여행지 #비짓제주 #생일맞이여행 #힐링제주

매년 봄가을 신랑과 내생일엔 제주나들이를 꼭 가게된다
봄여름가을겨울 다 아름다운 제주를 느끼기위하 ~^^
작년 신랑생일 다녀온 성산일출봉~♡
푸릇푸릇함과 가을이 함께했던 너무나 예뻤던곳
일출봉 정상에서 내려다본 제주의 바다또한 감탄 그자체 였어요
올해는 우도와 올레길을 걸어보려 다음주 또 제주로 향합니다~
조금만 기다려 내사랑 제주~~♡","['#제주여행', '#제주의가을', '#성산일출봉', '#제주추천여행지', '#비짓제주', '#생일맞이여행', '#힐링제주']",제주특별자치도 서귀포시 성산읍 성산리 1
18,성산일출봉(UNESCO 세계자연유산),자연,#제주가을 #성산일출봉,"['#제주가을', '#성산일출봉']",제주특별자치도 서귀포시 성산읍 성산리 1
19,성산일출봉(UNESCO 세계자연유산),자연,#제주가을 #성산일출봉,"['#제주가을', '#성산일출봉']",제주특별자치도 서귀포시 성산읍 성산리 1
20,성산일출봉(UNESCO 세계자연유산),자연,와이프랑 함께 성산일출봉의 일출을 함께,[],제주특별자치도 서귀포시 성산읍 성산리 1
21,성산일출봉(UNESCO 세계자연유산),자연,#제주가을사진 #제주가을픙경 #성산일출봉 #성산일출봉가을풍경,"['#제주가을사진', '#제주가을픙경', '#성산일출봉', '#성산일출봉가을풍경']",제주특별자치도 서귀포시 성산읍 성산리 1
22,성산일출봉(UNESCO 세계자연유산),자연,,[],제주특별자치도 서귀포시 성산읍 성산리 1
23,성산일출봉(UNESCO 세계자연유산),자연,#멋진풍경#속이#뻥뚫린다#답답한마음이#후련하게#뚫려요,"['#멋진풍경', '#속이', '#뻥뚫린다', '#답답한마음이', '#후련하게', '#뚫려요']",제주특별자치도 서귀포시 성산읍 성산리 1
24,성산일출봉(UNESCO 세계자연유산),자연,#제주도 #성산일출봉,"['#제주도', '#성산일출봉']",제주특별자치도 서귀포시 성산읍 성산리 1
25,성산일출봉(UNESCO 세계자연유산),자연,#제주가을 #성산봉 #성산읍,"['#제주가을', '#성산봉', '#성산읍']",제주특별자치도 서귀포시 성산읍 성산리 1
26,성산일출봉(UNESCO 세계자연유산),자연,7:30 ~ 19:00 입장료 성인 2000원,"['#입장료', '#저렴해', '#착해']",제주특별자치도 서귀포시 성산읍 성산리 1
27,성산일출봉(UNESCO 세계자연유산),자연,"19시까지라고 되어있지만 매표는 17시 50분까지더라구요. 51분에 도착했는데 매표마감 표지판을 올리시며 ""시계보세요. 51분이잖아요.""라고 하셔서 입장 못했습니다. 19시까지라는건 매표는 17시 50분전에 하셔야한다는 뜻이래요. 저만 한국말에 대한 이해가 부족했던걸까요? 저와 거의 비슷한 시간에 도착한 외국인들에게는 눈길한번 안주시고 정산만 하시던데.. 세계문화유산이고 제주에서 꼭 봐야할 곳이라고 생각해서 방문한 사람들에 대한 배려가 있었다면 얼마나 좋았을까.. 생각해보았습니다. 저는 자주 시간내기 어렵지만 언젠가 한번은 또 오겠지요. 하지만 외국인들은 평생 우리나라 제주가 한번일지도 모르잖아요. 배려가 힘드시면 관광지 상세정보라도 수정하시는게 어떨까요?","['#가을', '#힐링', '#가족여행']",제주특별자치도 서귀포시 성산읍 성산리 1
28,성산일출봉(UNESCO 세계자연유산),자연,언제가도 멋진 성산일출봉,"['#혼자', '#봄', '#여행', '#걷기', '#뚜벅뚜벅']",제주특별자치도 서귀포시 성산읍 성산리 1
29,성산일출봉(UNESCO 세계자연유산),자연,다리 아파요 ㅋ,"['#가을', '#가족여행', '#가족']",제주특별자치도 서귀포시 성산읍 성산리 1
30,성산일출봉(UNESCO 세계자연유산),자연,"#여름 #성산일출봉 #일출 #해돋이 #여름성산
여름에 제주에서 일출을 보고싶어서 성산에 다녀왔어요~ㅎㅎ
겨울에 보는 일출도 멋있지만 여름도 매력적이고 아름답네요♥ 행복한 여름입니다. ^-^ㅎㅎ","['#여름', '#성산일출봉', '#일출', '#해돋이', '#여름성산']",제주특별자치도 서귀포시 성산읍 성산리 1
31,성산일출봉(UNESCO 세계자연유산),자연,#성산일출봉#제주#신선놀음,"['#성산일출봉', '#제주', '#신선놀음']",제주특별자치도 서귀포시 성산읍 성산리 1
32,성산일출봉(UNESCO 세계자연유산),자연,"이 세상에서 제일 중요한 것은
어떻게 하면 내가 정말 나다워질 수 있는가를 아는 것

#여름 #제주 #제주동쪽 #성산일출봉 #그대이름은 #바람바람바람","['#여름', '#제주', '#제주동쪽', '#성산일출봉', '#그대이름은', '#바람바람바람']",제주특별자치도 서귀포시 성산읍 성산리 1
33,성산일출봉(UNESCO 세계자연유산),자연,#성산일출봉,['#성산일출봉'],제주특별자치도 서귀포시 성산읍 성산리 1
34,성산일출봉(UNESCO 세계자연유산),자연,#문열자마자가기#산책하기좋은곳#계단이많아요,"['#문열자마자가기', '#산책하기좋은곳', '#계단이많아요']",제주특별자치도 서귀포시 성산읍 성산리 1
35,성산일출봉(UNESCO 세계자연유산),자연,멀리서부터 웅장함이 아주 ㅋㅋ 보일때부터 웅장함 수려함에 잘 왔구나 생각이 들었습니다 ㅋㅋ개인적인 평점은 9/10 ㅋㅋ올라가는 동안 사람이 쉴 그늘이 부족하고 (얼렁 보고 빨리 내려가라는건가) 전 성산일출봉 밟을 수 있을지 알아서 또는 다리가 길게 봉 전체에 걸쳐 크게 연결되있을 줄 알았는 데 그게 아니어서 갠적으로 9점 ㅋ입장료도 2000원으로 저렴합니다,"['#여름', '#가족여행', '#가족']",제주특별자치도 서귀포시 성산읍 성산리 1
36,성산일출봉(UNESCO 세계자연유산),자연,#여름 #성산일출봉 #뜨겁지만행복했던 #내려올때관경 #15분이면올라감 #이게제주다,"['#여름', '#성산일출봉', '#뜨겁지만행복했던', '#내려올때관경', '#15분이면올라감', '#이게제주다']",제주특별자치도 서귀포시 성산읍 성산리 1
37,성산일출봉(UNESCO 세계자연유산),자연,"남편과 아침7시에 정상까지 등반
정상에서 내려다보이는 제주풍경이 장관이다!
#성산일출봉#여름#제주#세계자연유산","['#성산일출봉', '#여름', '#제주', '#세계자연유산']",제주특별자치도 서귀포시 성산읍 성산리 1
38,성산일출봉(UNESCO 세계자연유산),자연,별이랑 아침 맞이하기,"['#여름', '#힐링', '#애인']",제주특별자치도 서귀포시 성산읍 성산리 1
39,성산일출봉(UNESCO 세계자연유산),자연,,[],제주특별자치도 서귀포시 성산읍 성산리 1
40,성산일출봉(UNESCO 세계자연유산),자연,#성산일출봉 #맑음 #자연 #세계자연유산 #유네스코 #제주 #포토스팟,"['#성산일출봉', '#맑음', '#자연', '#세계자연유산', '#유네스코', '#제주', '#포토스팟']",제주특별자치도 서귀포시 성산읍 성산리 1
41,성산일출봉(UNESCO 세계자연유산),자연,즐거운 시간이었습니다^^,"['#봄', '#걷기', '#애인']",제주특별자치도 서귀포시 성산읍 성산리 1
42,성산일출봉(UNESCO 세계자연유산),자연,좋을것같아요,"['#봄', '#여름', '#가을', '#체험', '#미식', '#힐링', '#친구', '#애인', '#혼자']",제주특별자치도 서귀포시 성산읍 성산리 1
43,성산일출봉(UNESCO 세계자연유산),자연,"목포에서 밤 배를 타고 제주도에 도착해, 제일 처음 생각 난 성산일출봉에 갔다. 수학여행 이후 처음으로 가는 거였다. 아직 이른 아침이라 고요한 성산일출봉을 올랐다. 생각보다 힘들었다. 기억을 더듬으며 예전에 사진 찍었던 곳을 추억했다. 역시, 정상의 풍경은 그때처럼 아름다웠다.","['#여름', '#걷기', '#혼자', '#성산일출봉']",제주특별자치도 서귀포시 성산읍 성산리 1
44,성산일출봉(UNESCO 세계자연유산),자연,#성산일출봉 #우리가족화이팅 #좋은기운흡입 #냠냠 #신선한회도흡입 #해녀의집 #해녀분들최고,"['#성산일출봉', '#우리가족화이팅', '#좋은기운흡입', '#냠냠', '#신선한회도흡입', '#해녀의집', '#해녀분들최고']",제주특별자치도 서귀포시 성산읍 성산리 1
45,성산일출봉(UNESCO 세계자연유산),자연,말이필요없는곳입니다 정말!,"['#봄', '#여행', '#친구']",제주특별자치도 서귀포시 성산읍 성산리 1
46,성산일출봉(UNESCO 세계자연유산),자연,수학여행때 가보고 안가봐서 ㅎ 기억도 나질 않아요.... 사진으로보니 정말 아름답네요....그땐 경치를 느끼기엔 너무 어렸나봅니다ㅎㅎㅎ 꼭~다시 가서 제대로 느끼고 싶어집니다^^엄마와 어린 아들과 함께 떠나는 설레는 여행 계획중입니다~~,"['#여름', '#힐링', '#가족', '#미식', '#체험']",제주특별자치도 서귀포시 성산읍 성산리 1
