Column1,name,keyword,content,tags,address
0,사려니숲길,도보,#사려니숲. #붉은오름 4/26방문자입니다~친구와 제주공항가는길에 마지막코스로 들렀던 사려니숲~공항가던 길이라 택시이용하고 캐리어가 있던지라 잠시 안내센터에 맡기고자했더니 아주 냉대를 하시며 버럭버럭 소리를 지르시더라구요. 사정얘기를 몇번이나 얘기했더니 입구에 푸드트럭에서 음식 사먹고 맡겨보라고 하더라구요. 안내센터에 보관할만한 장소가 없는것도 아니고 분실되어도 책임 안묻겠다고 잠시 놓고 다녀오겠다는데도 막무가내로 장사꾼내쫓듯 하더군요. 결국엔 입구에 서계신 국경없는의사회에서 나오신설문조사원께 맡기고 다녀왔습니다. 그 아름다운숲길에서 누가 남의 캐리어를 가져간다고 책임을 회피하고자 그러는건지..제주 마지막여행지로 들렀던 곳이 제주의 3일의 인상을 망쳐놓았네요. 푸드트럭에서 맡아줄짐을 사러니숲 안내센터에서는 왜 못맡아주는걸까요?,"['#걷기', '#친구', '#봄']",제주특별자치도 제주시 조천읍 교래리 산 137-1
1,사려니숲길,도보,작년11월 예술치유 영상 작업을 위해 방문한 사려니숲^^넘 좋았습니다.치유악기 칼림바로 숲속에서 연주하니 새들이 다가왔던 기억이 납니다. 숲속에 오는 분들과 예술로 치유하는 시간을 만들어보고 싶네요^^,"['##예술치유', '##칼림바', '##힐링']",제주특별자치도 제주시 조천읍 교래리 산 137-1
2,사려니숲길,도보,여름의 시작과 끝을 함께하는 산수국,"['#여름', '#산수국', '#사려니숲길']",제주특별자치도 제주시 조천읍 교래리 산 137-1
3,사려니숲길,도보,"몇년만에 함께한 가족여행, 제주도 사려니숲길에서 귀여운 빼꼼 가족사진을 찍어보았어요 가을의 제주 꽃이 없어도 예뻐요","['#가족여행', '#사랑해요', '#사려니숲길', '#제주여행']",제주특별자치도 제주시 조천읍 교래리 산 137-1
4,사려니숲길,도보,처음만나 제주의 가을 사려니숲길은 나를 행복의 숲으로 인도하여 주었습니다. 기대하지 않았다가 만난 사려니숲길의 가을은 '가을'의 모습을 그대로 간진한 태고의 모습 그대로였습니다. 행복을 느끼고 싶다면 사려니숲길로 오세요,"['##여행', '##제주행', '##제주여행', '##제주가을', '##사려니숲길']",제주특별자치도 제주시 조천읍 교래리 산 137-1
5,사려니숲길,도보,딸과 들만의 여행 사려니숲길 다음달엔 아빠까지 세식구 제주여행 티켓팅 완료 ? 제주도 사랑해요,"['#사려니숲', '#사려니숲길', '#제주여행', '#가족여행', '#제주도사랑']",제주특별자치도 제주시 조천읍 교래리 산 137-1
6,사려니숲길,도보,어머니 환갑때 제주도 방문한 사진 올립니다. 아름다운 숲길을 따라 걷다 보니 마음이 편안해지고 힐링이 되었습니다.,"['#5월엔제주', '#사려니숲길', '#제주도']",제주특별자치도 제주시 조천읍 교래리 산 137-1
7,사려니숲길,도보,"10개월된 아들과 첫 제주 여행~ 제주도 오기전부터 엄마가 오고 싶어했던 ""사려니숲길"" 둘이서 여행할때는 생각만했던곳을 아들과함께와보니 정말좋았고,요즘 미세먼지다해서 숲향기를 먹고싶었던나ㅋ 아들에게 숲향기를 맞게해주고싶었고, 오길정말잘했다,나의탁월한선택?? 당시 비가와서 걱정을 많이했는데,비가오면서 사진을찍었는데 캬~~~~ 그또한 너무 좋았다 ~정말운치도있고,사진이 정말 깨끗하게도 나왔고,느낌이너무 사믓달라서 너무 좋았다ㅋ 요번에 여름에와서 느껴봤지만 다음에올때는 다른 계절 또한 느껴보고싶다","['#5월엔제주', '#사려니숲길', '#10개월된아기', '#첫가족여행', '#꿈같은시간', '#모든날모든순간', '#비짓제주']",제주특별자치도 제주시 조천읍 교래리 산 137-1
8,사려니숲길,도보,중2병딸과 50세 갱년기 엄마의 여행 사진 찍기도 힘들었지만 사려니 숲길은 모녀의 맘이 통하는 시간이었네요^^,"['#사려니숲길', '#중2', '#향기솔솔']",제주특별자치도 제주시 조천읍 교래리 산 137-1
9,사려니숲길,도보,내가 개인적으로 가장 좋아하는 숲길....,"['#힐링', '#친구', '#가족']",제주특별자치도 제주시 조천읍 교래리 산 137-1
10,사려니숲길,도보,#사려니숲길,['#사려니숲길'],제주특별자치도 제주시 조천읍 교래리 산 137-1
11,사려니숲길,도보,사려니숲길 이에요~,[],제주특별자치도 제주시 조천읍 교래리 산 137-1
12,사려니숲길,도보,#가을을느끼며,['#가을을느끼며'],제주특별자치도 제주시 조천읍 교래리 산 137-1
