,place_name,comment,rating,date,userid
0,파파야,말고기라 잡내나 역한 냄새가 날까 걱정했는데 전혀 그렇지 않아서 맛있게 먹었다. 거의 소고기 맛과 흡사하므로 보통 소고기 육회를 즐기는 사람들이라면 맛있게 먹을 맛이다. 흑돼지버거는 기름기가 전혀 없어 담백하게 즐길수 있지만 특별한 맛은 아닌것 같아 돼지보다는 말고기를 추천해본다. 가게 사장님 부부가 친절하시다. 여자 사장님은 이런저런 정보도 많이 알려주시...,4,2021.09.12.,난 그렇게 생각해.
1,파파야,혼자 방문했는데 사장님 엄청 친절하게 말 걸어주시고 엄청 맛있게 잘 먹고가네요~~,5,2021.08.20.,쓰니
2,파파야,정말 가기전에 기대한곳 역시 처음먹어보는 말고기버거라 정말 맛있습니다 특히 사장님분들이랑 대화하는데 정말 재밌고 친절하십니다. 우연히 사장님이 목동 출신이시더라구요 ㅎㅎ거기다가 같은 학교 대선배님이시더라구요 사장님이랑 제주도에서 서울얘기했네요 ㅋㅋ 서비스 감사합니다!!두 분다 너무 친절하세여 건강하시고! 다음에 여행가면 또 갈게요!!  몸조심하십쇼,5,2021.08.03.,빈스
3,파파야,"흑돼지버거랑 말고기버거, 말사시미까지! 너무 맛있어서 친구들이랑 말도 안하고 먹었다ㅋㅋㅋ 다음 여행때도 필수코스 될듯",5,2021.07.03.,YS
4,파파야,말고기 맛이  궁금했는데 먹어보니 소고기 맛이네요 흑돼지 버거도 맛있고 서울 출신 여사장님께서 너무편히 대해주시고 주변 볼거리도 안내해주셔서 너무 잘놀고가요 암튼 대박나세요~~,5,2021.06.12.,시아네
5,파파야,전반적으로 너무 맛있구   여주인장도  육지에서  오신분이라 친절히 정겹게 대해주셔서 감사했어요,5,2021.06.08.,제주사랑
6,파파야,요즘 맛있는 버거가 많아서... 특이하긴 했지만 좀 아쉽네요 ㅠ,3,2021.04.25.,제주도민
7,파파야,사장님이 친절하시기는 한데 솔직히 좀 과하다는 생각도 드네요 말고기버거와 흙돼지버거 패티의 차이가 전혀 느껴지지 않는다는 것이 가장 큰 문제입니다(패티의 특색이 전혀 없어요) 버거 자체는 나쁘지 않은 맛이기는 합니다,2,2021.03.10.,Lee
8,파파야,"우리싸장님 먼저 사랑해용 분위기, 맛, 사장님과의 대화 다 너무너무 좋았어요! 벌써 여기만 세번째 방문ㅎㅎㅎㅎ 서귀포로 이사는 갔지만 사장님보러 제주에 있는동안 자주자주 올게요! 항상 화이팅",5,2021.02.22.,예령
9,파파야,먹는 내내 사장부부가 끊임없이 말을 시켜서 대답해주느라 일행 다 스트레스 심하게 받음. 조용히 식사하고싶어서 간거라 실망했다.,1,2021.02.19.,맛집탐방고고
10,파파야,새콤한 소스 양이 많아서 무슨 재료가 들어갔는지 맛을 알수없는 버거. 말고기버거라 해도 소 패티랑 별 차이 없다. 제주도 인거 감안해도 비싸다,2,2020.11.17.,도하
11,파파야,말고기 버거 맛있당  세트메뉴는 못먹어서 아쉽 담에 먹어야겠음,5,2020.11.07.,현
12,파파야,최고에요. 맛도 최고. 셋이 가서 버거를 후루룩 마시고 나왔습니다 ㅎㅎ 사장님도 너무 멋지시고 아우라가 따봉♡ 너무 기분좋게 식사하고 나왔네요. 추천 왕추천 가세요 꼭 가세요 버거 드시고 싶으신 분 후회 없으실 거예요 :)   ,5,2020.10.19.,함승혜
13,파파야,,5,2020.08.08.,엄석대
14,파파야,친절하시고 여사장님 정말 재밌으세요 ㅎ.ㅎ 버거도 맛있게 잘 먹었습니다. 여기랑 자전거 샵 다음에 또 방문하고 싶어요.,5,2020.07.30.,apps
15,파파야,말버거  말초밥 굿입니다. 쉐프의 다소 거친 정제되지 않은 요리의 비줠이지만 파파야만의 제주만의 감성이 있습니다 라이트하게 라거한잔과 딱 좋은 조합인것 같습니다,5,2020.07.26.,바다가 보이는곳
16,파파야,성산이 워낙 관광지화 돼서 유명하다고 하는 곳들도 터무니없이 비싸고 맛없는 곳들이 많은데 여기는 정말 양도 푸짐하고 너무너무 맛있어요!!! 사장님 흥하세요오오~~ ,5,2020.01.10.,임경찬
17,파파야,여기 햄버버 쥰내 마싯음. 서니사이드업 보면 그저 죻다는,5,2019.12.06.,이주영
18,파파야,친절하고 말고기버거는 한번쯤 꼭 먹어보길 권합니다 행복바이러스에 전염되서 기뻤습니다,5,2019.10.22.,영수(seeker)
19,파파야,말고기 버거 처음먹어봤는데 넘 맛있었어요!! 소스도 직접 만드시는것 같은데 자꾸생각나는맛!,5,2019.10.06.,수연
20,파파야,맛나게 잘 먹고 갑니당. 말고기 냄새 안나고 맛있어요~,5,2019.08.10.,정
21,파파야,말버거  말초밥 굿입니다. 쉐프의 다소 거친 정제되지 않은 요리의 비줠이지만 파파야만의 제주만의 감성이 있습니다 라이트하게 라거한잔과 딱 좋은 조합인것 같습니다,5,2020.07.26.,바다가 보이는곳
22,파파야,성산이 워낙 관광지화 돼서 유명하다고 하는 곳들도 터무니없이 비싸고 맛없는 곳들이 많은데 여기는 정말 양도 푸짐하고 너무너무 맛있어요!!! 사장님 흥하세요오오~~ ,5,2020.01.10.,임경찬
23,파파야,여기 햄버버 쥰내 마싯음. 서니사이드업 보면 그저 죻다는,5,2019.12.06.,이주영
24,파파야,친절하고 말고기버거는 한번쯤 꼭 먹어보길 권합니다 행복바이러스에 전염되서 기뻤습니다,5,2019.10.22.,영수(seeker)
25,파파야,말고기 버거 처음먹어봤는데 넘 맛있었어요!! 소스도 직접 만드시는것 같은데 자꾸생각나는맛!,5,2019.10.06.,수연
26,청우식당,"푸짐한 밥상. 따로따로는 무난한 맛이지만 한상가득 채우는 느낌이 좋은, 남자들의 취향저격 식당입니다. 옥돔구이도 맛있어요. 세트 가격이 저렴하진않지만 구성을 보면 비싸지도 않은 느낌. 호텔단지 인근이라 접근성이 좋아, 멀리가긴 귀찮고 상채워서 술한잔 먹고싶다면 추천드립니다.",4,2021.09.25.,Light
27,청우식당,별 1개도 아까워요 비추... 반찬도 별로고..,1,2021.05.07.,김성중
28,청우식당,정말 맛있고 친절한 집! 강추!,5,2021.05.05.,박민호
29,당포회센타,최고의 오션뷰 횟집 알짜배기 표선토박이분들은 겉만 화려한 관광횟집보다는 이곳을 선호하네요. 퀄리티에비해 가격도 적당한수준이고요. 포구 안쪽에 숨은진주가 있었네요. 친절한 주인사장님과 정갈한 스끼다시  최고의 횟집입니다.,5,2021.06.25.,윤재영
30,당포회센타,,5,2021.05.10.,권기범
31,당포회센타,우연히 왔다가 맛나게 먹고 갑니다 사장님 친절해요~,5,2020.10.23.,백
32,당포회센타,매운탕 맛집,5,2020.04.25.,Arvechios
33,당포회센타,관광지 횟집.... ㅋ 다 먹은거 같은데 배고픔 ㅋ 서더리도 모자란건지.... 건더기가 없슴  서더리 뼈가 누가 발라 먹은 후인지...붙은 살이 없는건.... 처음 로그인하게 만든 횟집 ,1,2019.08.13.,eunju
34,당포회센타,회랑 밑반찬이 깔끔하고 맛있어요~! 특히 초밥이 적당한 크기에 맛도 좋네요 ㅋㅋ초밥먹으러 또 와야겠어요 ㅋㅋ,5,2018.05.08.,김미정
35,해민이네양곱창,"한우라서 가격대가 있어 그렇지 맛있었어요  반찬도 다 깔끔하고 맛있고, 순서에 맞게 구워주셔서 편했어요! 또 갈거예요~",4,2021.06.27.,옥수수
36,해민이네양곱창,긴가민가하고 갔는데..인생곱창입니다. 강추합니다,5,2021.04.11.,MIDAS:) KIM JAE WON
37,해민이네양곱창,급비추천!,1,2021.03.28.,미식!
38,해민이네양곱창,맛있어용 사장님듀 친절하시구b,5,2020.10.06.,bh
39,해민이네양곱창,맛있어요~~,4,2019.11.25.,얌냠
40,해민이네양곱창,,4,2019.03.03.,김도야지
