Column1,name,keyword,content,tags,address
0,카멜리아힐,테마관광,기대가 됩니다,"['#여름', '#미식', '#친구']",제주 서귀포시 안덕면 병악로 166
1,카멜리아힐,테마관광,친구들과 우정여행,"['#제주컬러어택', '#카멜리아힐', '#한겨울에핀꽃']",제주 서귀포시 안덕면 병악로 166
2,카멜리아힐,테마관광,친구들과 함께한 겨울 데주,"['#겨울', '#제주', '#동백']",제주 서귀포시 안덕면 병악로 166
3,카멜리아힐,테마관광,태교여행으로 갔던 가을의 제주도예요. 카멜리아 힐은 가을에 가도 아름다운것 같아요 ~,"['#제주가을', '#카멜리아힐', '#핑크뮬리', '#억새']",제주 서귀포시 안덕면 병악로 166
4,카멜리아힐,테마관광,태풍으로 항공편도 변경하고 일정도 미뤄서 어렵사리 다녀온 제주! 가을빛 가득한 제주는 역시 실망시키지 않았습니다. 자연이 아름다운 제주에서 가을에 흠뻑 빠져보세요!,"['#제주여행', '#카멜리아힐', '#가을여행', '#가을제주']",제주 서귀포시 안덕면 병악로 166
5,카멜리아힐,테마관광,"친구와 함께한 카멜리아힐, 날 좋은 날 들리기 좋은 곳! 제주의 가을은 화창하여라~","['#제주여행', '#카멜리아힐', '#제주가을', '#제주카멜리아힐', '#제주도여행']",제주 서귀포시 안덕면 병악로 166
6,카멜리아힐,테마관광,아들.딸과함께 3박4일간 제주여행을 왔습니다. 우도 들렸다 들린 카멜리아힐은 가을작품 그대로 였어요.분홍빛 핑크뮬리가 함박웃음으로 반겨줬어요 시간 가는줄 모르고 가을을 만끽하고 즐거운추억 안고 일상으로 돌아갑니다. 굿바이제주..다음에 또 만나요♡,"['#카멜리아힐', '#핑크뮬리', '#거울셀카']",제주 서귀포시 안덕면 병악로 166
7,카멜리아힐,테마관광,나 홀로제주여행! 높은하늘을 보며 여유로운 가을여행출발! 홀로 여기저기 돌아다니다 발견한 제주 수목원 카멜리아힐! 도시에서만 살던 내가 가을피톤치드와 함께하는 맑은공기를 마시는 싱그러운여행이였다!,"['#제주힐링', '##피톤치드수목원', '#제주카멜리아힐', '#가을여행첫출발', '#홀로여행']",제주 서귀포시 안덕면 병악로 166
8,카멜리아힐,테마관광,"아이와 버스여행. 생각지도 못한 갈대와 핑크뮬리를 만났다. 카멜리아힐 하면 동백이었지만, 갈대와 핑크뮬리가 우리여행을 더 빛나게 해준 장소.","['##제주 #여행 #핑크뮬리', '##가을여행 #갈대 카멜리아힐 #제주도 #가을제주', '#가을여행 #제주 #여행 #꼭한번']",제주 서귀포시 안덕면 병악로 166
9,카멜리아힐,테마관광,#5월엔제주 #카멜리아힐 #제주여행,"['#5월엔제주', '#카멜리아힐', '#제주여행']",제주 서귀포시 안덕면 병악로 166
10,카멜리아힐,테마관광,"결혼하고 둘이서 온 제주도 여행 때 너무 예쁘고 마음에 들었던 ""카멜리아힐"" 나중에 아기가 생기면 다시 찾아오자던 약속을 하고 아이가 생기고 다시 찾은 이 곳,,, 역시 다시 와도 여기는 너무 우리 스타일이야,,, 둘이 왔을때랑 셋이 왔을때랑 배경은 예전이나 지금이나 똑같은데 느낌은 완전 다르군,,, 나중에 할머니, 할아버지가 되면 다시 옵시다!! ㅋㅋ","['#5월엔제주', '#카멜리아힐', '#제주도여행', '#첫가족여행', '#힐링', '#초록초록', '#모든날모든순간']",제주 서귀포시 안덕면 병악로 166
11,카멜리아힐,테마관광,아가와 함께 카멜리아 힐에서 이쁜 꽃 구경과 이쁜 가족 사진 찍으러 갔어요~카멜리아 힐 정말 넓고 꽃도 너무 다양하고 사진도 이쁘게 잘나오는 곳 이었어요 아기가 감기에 걸려서 힘들어 해서 반도 돌지는 못했지만 그래도 너무 만족했던 곳이에요 또 가게되면 아가가 많이 컸을테니깐 다 돌아볼수 있을거란 아쉬운 마음이 아닌 또 다른 기대함으로 발길을 돌렸어요 !,"['##5월엔제주#제주카멜리아힐#즐거운가족여행#가족사진추천장소', '##제주도여행', '##카멜리아힐좋아']",제주 서귀포시 안덕면 병악로 166
