Column1,name,address
1469461,낮에정식밤에갈비,제주특별자치도 제주시 한림읍 한림상로 158
1469493,생고기통김치찌개,제주특별자치도 제주시 한림읍 한림로5길 11
1469539,다람쥐식탁,"제주특별자치도 제주시 한림읍 명월성로 10, 1층"
1469751,다시정한림점,"제주특별자치도 제주시 한림읍 한림상로 231, 1층"
1469763,피자베이한림점,"제주특별자치도 제주시 한림읍 한림중앙로 27, 1층"
1469773,단물다방앤까페,"제주특별자치도 제주시 한림읍 한림해안로 143, 2층"
1469787,일성흑돼지촌,"제주특별자치도 제주시 한림읍 한림로 127, 141호"
1469789,진질해녀식당,"제주특별자치도 제주시 한림읍 한림해안로 623-6, 1층"
1469841,금능태왁,"제주특별자치도 제주시 한림읍 금능1길 2-2, 1층"
1469945,롱로드,"제주특별자치도 제주시 한림읍 귀덕3길 36, 1층"
1470015,한림칠돈가,"제주특별자치도 제주시 한림읍 한림상로 69, 1층"
1470141,비올레제주,"제주특별자치도 제주시 한림읍 한림로 510, 1층"
1470163,보호,"제주특별자치도 제주시 한림읍 옹포7길 23-6, 1층"
1470197,복단지식당,제주특별자치도 제주시 한림읍 한림북동길 26
1470199,또래오래한림점,"제주특별자치도 제주시 한림읍 한림남길 6, 한림2리복지회관 1층"
1470205,선인장,"제주특별자치도 제주시 한림읍 월령안길 14-3, 1층"
1470323,협재신국수,"제주특별자치도 제주시 한림읍 명재로 17, 1층"
1470701,박초밥한림점,"제주특별자치도 제주시 한림읍 한림상로 115, 2층"
1470727,요미요미,"제주특별자치도 제주시 한림읍 한림남2길 4, 1층"
1470737,마로,제주특별자치도 제주시 한림읍 한림남길 4-2
1470741,제갈양,"제주특별자치도 제주시 한림읍 한림로 155, 1층"
1472401,룰루랄라,"제주특별자치도 제주시 한림읍 한림로 696, 1층"
1472977,협재뷰깡패,"제주특별자치도 제주시 한림읍 협재1길 1, 2층"
1473017,제주멜즈,"제주특별자치도 제주시 한림읍 협재1길 63, 1층"
1473161,태희,"제주특별자치도 제주시 한림읍 한림로 635, 1층"
1473185,협재가게,"제주특별자치도 제주시 한림읍 한림로 332-1, 1층"
1473385,미향해장국한림,"제주특별자치도 제주시 한림읍 한림상로 164, 1층"
1473441,우리장터,"제주특별자치도 제주시 한림읍 한림로5길 7, 1층"
1473443,별난닭곰탕집본점,제주특별자치도 제주시 한림읍 강구로 1
1473513,오데뜨,제주특별자치도 제주시 한림읍 중산간서로 4995-6
1473993,흑백돈한림점,"제주특별자치도 제주시 한림읍 한림중앙로 201, 1층"
1473997,제주발리리조트,제주특별자치도 제주시 한림읍 일주서로 5083-5
1474003,면뽑는선생만두빚는아내,"제주특별자치도 제주시 한림읍 옹포2길 10, 지하1층"
1474649,우리뜰,"제주특별자치도 제주시 한림읍 한림로5길 26-1, 101호"
1474705,옹포횟집,"제주특별자치도 제주시 한림읍 옹포2길 10, 지하1층"
1476561,한림정육식당,제주특별자치도 제주시 한림읍 한림상로 180
1476725,피어22,"제주특별자치도 제주시 한림읍 금능7길 22, 1층"
1477145,제주화덕족발,제주특별자치도 제주시 한림읍 한림로 653
1477289,키친오즈,"제주특별자치도 제주시 한림읍 협재로 208, 1층"
1477369,이큐테이블,제주특별자치도 제주시 한림읍 금능남1길 6-1
1477477,금악휴게소,제주특별자치도 제주시 한림읍 평화로 1360-2
1477485,협재리브와일드바앤키친,제주특별자치도 제주시 한림읍 협재4길 7-8
1478029,비비큐한림점,"제주특별자치도 제주시 한림읍 한림중앙로 73, 1~2층"
1478589,도향촌,제주특별자치도 제주시 한림읍 한림상로 166
