Column1,name,address
0,설레임,"제주특별자치도 제주시 애월읍 일주서로 5999-1, 2층"
82608,해물섬,"제주특별자치도 제주시 애월읍 애월로11길 19, 1층"
82696,엄지흑돼지,"제주특별자치도 제주시 애월읍 일주서로 6701, 1층"
82828,비금향,"제주특별자치도 제주시 애월읍 항몽로 133, 1층"
82842,우미노식탁,"제주특별자치도 제주시 애월읍 금성5길 42-24, 1층"
83106,모슬포항부두식당2호점,"제주특별자치도 제주시 애월읍 애월로 33, 1층"
83370,한양뼈감탕,제주특별자치도 제주시 애월읍 하귀로 38
83420,달빛해녀촌횟집,제주특별자치도 제주시 애월읍 애월해안로 270
83440,즐거운밥상,"제주특별자치도 제주시 애월읍 광성로 249, 1층"
83442,곽지가,제주특별자치도 제주시 애월읍 일주서로 6025
83462,연다라,"제주특별자치도 제주시 애월읍 하가로 167-2, 1층"
83642,솔향바다가든,"제주특별자치도 제주시 애월읍 일주서로 6113, 지하1층"
83662,바이탈,"제주특별자치도 제주시 애월읍 애월해안로 664, 지하1층"
83668,애월리식당,"제주특별자치도 제주시 애월읍 애월해안로 907, 1층"
83688,별인애월,"제주특별자치도 제주시 애월읍 신용로 25, 1층"
83708,키친앤정지,"제주특별자치도 제주시 애월읍 일주서로 5990, 1층"
83828,애월짬뽕,"제주특별자치도 제주시 애월읍 유수암평화5길 15-22, 1층"
83848,애월꼴통돼지,"제주특별자치도 제주시 애월읍 애월로7길 10, 1층"
83854,일품순두부하귀점,"제주특별자치도 제주시 애월읍 하귀9길 18, 1층"
83874,애월오누이,"제주특별자치도 제주시 애월읍 애월로9길 54, 나동 1층"
83894,추닭집하귀점,제주특별자치도 제주시 애월읍 하광로 37
83914,광령힐식당,"제주특별자치도 제주시 애월읍 광령남7길 1, 나동 1층"
83918,골든팝,"제주특별자치도 제주시 애월읍 하귀로 30, 1층 제1호"
83932,하늘만큼땅만큼,"제주특별자치도 제주시 애월읍 가문동상4길 5, 2층"
84076,칠돈가유수암점,"제주특별자치도 제주시 애월읍 유수암평화5길 8, 1층"
84096,한끼국밥하귀외도점,"제주특별자치도 제주시 애월읍 하귀동남1길 2-5, 1층"
84114,용철이네횟집,"제주특별자치도 제주시 애월읍 하귀동남1길 25, 1층"
84134,스나쿠타카,"제주특별자치도 제주시 애월읍 일주서로 7063, 1층"
84154,육장갈비하귀점,"제주특별자치도 제주시 애월읍 하광로 19, 1층"
84174,황동차이나,"제주특별자치도 제주시 애월읍 장소로 88, 1층"
84194,맘스터치제주관광대점,"제주특별자치도 제주시 애월읍 광령중길 133-2, 1층 104호"
84354,마트료식당,"제주특별자치도 제주시 애월읍 유수암로 138, 1층"
84374,연월,"제주특별자치도 제주시 애월읍 고하상로 102, 1층"
84394,하귀포장마차,제주특별자치도 제주시 애월읍 항몽로 27
84398,하귀1629,"제주특별자치도 제주시 애월읍 하귀12길 22, 1층"
84506,순여네국수,"제주특별자치도 제주시 애월읍 고하상로 125-1, 1층"
84514,통큰뼈감탕,"제주특별자치도 제주시 애월읍 하귀동남1길 50-9, 1층"
84578,구엄애초밥,"제주특별자치도 제주시 애월읍 애월해안로 715, 지하1층"
84630,엄가네,"제주특별자치도 제주시 애월읍 일주서로 6281, 1층"
84674,애월포구횟집,"제주특별자치도 제주시 애월읍 애월로11길 22, 2층"
85090,기찬밥상,제주특별자치도 제주시 애월읍 광성로 293
302158,뿔난돼지,"제주특별자치도 제주시 애월읍 고내로7길 45, 1층"
302662,송화,"제주특별자치도 제주시 애월읍 유수암평화5길 20, 1층"
302830,파랑카페,"제주특별자치도 제주시 애월읍 유수암평화5길 53-2, 1층"
302962,화끈한얼큰이,제주특별자치도 제주시 애월읍 하귀로 50
303010,애월밥집,제주특별자치도 제주시 애월읍 애월로 114
