,name,address
976530,네네치킨남원점,"제주특별자치도 서귀포시 남원읍 남원체육관로 342, 상가동 1층 103호 (서귀포남원엘에이치아파트)"
976602,시카고피자성산점,제주특별자치도 서귀포시 성산읍 일주동로 4232
976666,푸른솔,제주특별자치도 서귀포시 남원읍 남한로 11
976674,용머리해물정식,제주특별자치도 서귀포시 성산읍 환해장성로 467
976694,흑돈플러스,제주특별자치도 서귀포시 대포로 132 (대포동)
977576,메이비아모르,"제주특별자치도 서귀포시 신중로 50, 1층 (법환동, KT신서귀포빌딩 )"
977586,할매식당,제주특별자치도 서귀포시 부두로 40 (서귀동)
977748,삼촌네돌판구이,제주특별자치도 서귀포시 서문로29번길 25 (서귀동)
977762,한잔하게,제주특별자치도 서귀포시 신동로27번길 27 (서호동)
977798,이층으로,제주특별자치도 서귀포시 성산읍 동류암로39번길 15
977858,칼초네화덕피자,제주특별자치도 서귀포시 예래로 115 (상예동)
979360,복댕이,"제주특별자치도 서귀포시 성산읍 일출로 34, 1~2층"
982624,이모네손칼국수,제주특별자치도 서귀포시 남원읍 태위로689번길 1
982656,어조횟집,제주특별자치도 서귀포시 성산읍 일출로 233
983638,고성장터국밥,제주특별자치도 서귀포시 성산읍 고성동서로45번길 19
983924,신라원중문점,제주특별자치도 서귀포시 천제연로 107 (색달동)
985500,샤브랑,제주특별자치도 서귀포시 동문로 31 (서귀동)
985516,돌하르방뚝배기식당,제주특별자치도 서귀포시 성산읍 일출로 264
985870,오조반점,제주특별자치도 서귀포시 성산읍 한도로 124
986532,비비큐서귀일호점,제주특별자치도 서귀포시 동문로 22 (서귀동)
986550,우정회센타,제주특별자치도 서귀포시 중앙로54번길 32 (서귀동)
988564,제주신라 바당,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동)
988596,백록통닭,제주특별자치도 서귀포시 효돈로 174 (하효동)
988612,1950김프로,"제주특별자치도 서귀포시 홍중로 80, 1층 (서홍동)"
988630,현재식당,제주특별자치도 서귀포시 서문로29번길 21 (서귀동)
988636,교촌치킨중문점,제주특별자치도 서귀포시 천제연로 215 (중문동)
