,name,address
612047,외도아나고,"제주특별자치도 제주시 우정로4길 3-5, 1층 (외도일동)"
612049,정실국수,"제주특별자치도 제주시 아연로 208, 1층 (오라이동)"
612053,미쁨김밥,"제주특별자치도 제주시 삼봉로 113-2, 1층 (도련일동)"
612063,제주공간,"제주특별자치도 제주시 노연로 34, 2층 (노형동)"
612071,시쟈덕,"제주특별자치도 제주시 신광로8길 20, 1층 (연동)"
612077,우돈숯불,"제주특별자치도 제주시 다랑곶길 27, 1층 105호 (노형동, 대성빌라)"
612087,부가네얼큰이첨단점,"제주특별자치도 제주시 첨단로 199, 지하1층 B101호 (영평동)"
612097,함덕골오리회전구이,"제주특별자치도 제주시 선사로8길 18, 1층 (삼양일동)"
612101,24시제주해장국,"제주특별자치도 제주시 삼무로 45, 1층 (연동)"
612111,용범이네인계동껍데기노형점,"제주특별자치도 제주시 원노형로 54, 1층 (노형동)"
612121,지금보고싶다제주시청점,"제주특별자치도 제주시 광양8길 1-2, 1층 (이도이동)"
612122,쿠웨이트삼화점,"제주특별자치도 제주시 화삼로 7, 티엠빌딩 107호 (화북일동)"
612132,인생야채곱창,"제주특별자치도 제주시 신설로 55, 지하1층 B105호 (이도이동, 한일베라체아파트)"
612142,명륜진사갈비연동점,"제주특별자치도 제주시 원노형로 54, 2층 (노형동)"
612152,폴스키친,"제주특별자치도 제주시 조천읍 신북로 138, 1층"
612172,빈대떡신사,"제주특별자치도 제주시 다랑곶4길 17, 1층 101호 (노형동, 별두빌라)"
612176,만배식당,"제주특별자치도 제주시 도두항길 4-4, 1층 (도두일동)"
612184,제주의온도,"제주특별자치도 제주시 선덕로5길 20-1, 1층 (연동)"
612256,24시얼큰시원생고기김치찌개아라점,"제주특별자치도 제주시 중앙로 521, 1층 (아라일동)"
612266,미미야족발,"제주특별자치도 제주시 월랑로6길 15, 1층 (노형동)"
612269,희야국수,"제주특별자치도 제주시 다호5길 11, 1층 (도두이동)"
612279,남원양꼬치,제주특별자치도 제주시 도남로 15 (도남동)
612289,토박이장터,제주특별자치도 제주시 귀아랑길 21 (연동)
612293,제주옹기설렁탕,제주특별자치도 제주시 문송길 27 (연동)
612303,백년갈비터미널점,제주특별자치도 제주시 서광로 197 (삼도일동)
612307,강사또,"제주특별자치도 제주시 용화로 16, 1층 (용담이동)"
612317,나와바리,제주특별자치도 제주시 조천읍 신촌북2길 33
612327,화산양꼬치3호점,제주특별자치도 제주시 월랑로 59 (노형동)
612337,황금어장,제주특별자치도 제주시 사장길 14 (연동)
618169,추자본섬연동점,제주특별자치도 제주시 선덕로 14-1 (연동)
618179,큰맘할매순대국밥,제주특별자치도 제주시 구남동5길 42 (아라이동)
618225,제주통큰장어,제주특별자치도 제주시 청귤로3길 50 (이도이동)
618379,숙이네국수,"제주특별자치도 제주시 고마로 29, 1층 (일도이동)"
618399,미양양,"제주특별자치도 제주시 도남로 62, 1층 (도남동)"
618433,장우보양탕,제주특별자치도 제주시 신산로 42 (일도이동)
618435,로우허판,"제주특별자치도 제주시 성신로 15, 1층 제1호 (연동)"
618473,밥이보약,제주특별자치도 제주시 도령로 11 (노형동)
618511,맛드림,"제주특별자치도 제주시 일주동로 350-2, 1층 제1호 (삼양이동)"
618551,복자네,"제주특별자치도 제주시 진동로3길 34, 1층 (화북일동)"
618655,파스쿠찌탑동점,"제주특별자치도 제주시 중앙로 27-26, 1층 (일도일동)"
618723,투다리노형점,"제주특별자치도 제주시 성신로1길 11 (연동,(성신1로9))"
618725,정직한통닭용담점,제주특별자치도 제주시 용담로 41 (용담삼동)
618735,석정삼계탕,제주특별자치도 제주시 진서로 33-3 (화북일동)
618811,어하영,"제주특별자치도 제주시 임항로 266, 102호 (건입동,장원마리나아파트)"
618815,큰가름본점,"제주특별자치도 제주시 도남로 65, 101호 (도남동)"
618841,알콜달콜,제주특별자치도 제주시 원노형로 22 (노형동)
618865,추렴,"제주특별자치도 제주시 조천읍 신북로 24-1, 1층"
618873,시청시장통닭,"제주특별자치도 제주시 중앙로 254, 1층 (이도이동)"
618921,추자향기,제주특별자치도 제주시 추자면 추자로 42
618933,울돌목광양,제주특별자치도 제주시 광양13길 24 (이도이동)
618937,선이네밥집,"제주특별자치도 제주시 조천읍 신북로 262, 조천리사무소 1층"
619253,올레스시초밥전문점,제주특별자치도 제주시 진군중길 9 (노형동)
619279,스카이리더스,"제주특별자치도 제주시 신광로 106, 2층 (연동)"
619567,함덕대박횟집,"제주특별자치도 제주시 조천읍 조함해안로 441, 1층"
620495,김자매아구찜,제주특별자치도 제주시 신성로 47 (도남동)
620521,대오,"제주특별자치도 제주시 조천읍 남조로 2349, 1층"
620565,이인자뼈다귀해장국,"제주특별자치도 제주시 다랑곶2길 7 (노형동,(다랑굿3로9))"
620615,아란치오,"제주특별자치도 제주시 서해안로 234, 1층 (도두일동)"
620619,돈짝시청점,제주특별자치도 제주시 중앙로 260 (이도이동)
620683,우도봉중식,"제주특별자치도 제주시 우도면 우도봉길 47, 1층"
620703,여루다,"제주특별자치도 제주시 용해로 61, 1층 제1호 (용담이동)"
620927,미미이자카야,"제주특별자치도 제주시 우정로11길 5, 1층 (외도일동)"
621259,만나고쪽갈비제주노형점,"제주특별자치도 제주시 다랑곶4길 14, 1층 (노형동)"
621277,명가천지연무태장어,"제주특별자치도 제주시 아연로 438-22, 1층 (오등동)"
621321,연어도둑,"제주특별자치도 제주시 박성내서길 8, 1층 (이도이동)"
621347,소주앤비어,제주특별자치도 제주시 흥운길 33 (용담이동)
