,name,address
1615731,난타오천뜨란채점,제주특별자치도 제주시 정존11길 39 (노형동)
1615738,보해국수,제주특별자치도 제주시 오복4길 6 (이도이동)
1615741,두남자이야기,제주특별자치도 제주시 삼무로 77 (연동)
1615853,도리,"제주특별자치도 제주시 도공로 48, 2층 (도두일동)"
1615897,평산,제주특별자치도 제주시 정든로2길 14 (이도이동)
1615904,춘향골,"제주특별자치도 제주시 원노형10길 32 (노형동,(마두천길86))"
1615910,코멧1987,"제주특별자치도 제주시 광양11길 8, 1층 (이도이동)"
1615922,타블도트,"제주특별자치도 제주시 건주로4길 6-1, 2층 (도련일동)"
1615933,노른자,제주특별자치도 제주시 조천읍 조함해안로 514
1616125,고향숯불막창삼화점,"제주특별자치도 제주시 일주동로 281, 1층 (화북일동)"
1616144,제주명태어장삼화점,"제주특별자치도 제주시 화삼북로 45, 1층 (화북일동)"
1616176,스푼더마켓제주점,"제주특별자치도 제주시 연북로 76, 2층 (연동)"
1616222,춘천명동닭갈비아라점,"제주특별자치도 제주시 중앙로 517, 1층 (아라이동)"
1616261,다정이네,"제주특별자치도 제주시 조천읍 와흘로 74, 1층"
1616267,피노키오,제주특별자치도 제주시 우도면 우도로 339
1616528,버무리떡볶이삼화점,"제주특별자치도 제주시 화삼북로 139, 1층 (삼양이동)"
1616535,제주제라진통닭,"제주특별자치도 제주시 신설로 3, 1층 (이도이동)"
1616557,싱싱회센타,"제주특별자치도 제주시 동문로4길 9, 2-8,9,3-10호 (일도일동)"
1616821,대학로황가네,제주특별자치도 제주시 광양13길 8 (이도이동)
1616835,제주불백,제주특별자치도 제주시 도령로13길 16-3 (연동)
1616875,소선우식당,제주특별자치도 제주시 선반남2길 25 (화북일동)
1616876,북경양꼬치,제주특별자치도 제주시 신대로16길 50 (연동)
1616890,부가네얼큰이서사라점,"제주특별자치도 제주시 중앙로24길 20, 1층 (삼도이동)"
1616891,낭만주의,"제주특별자치도 제주시 내도1길 18-1, 지하1층 (내도동)"
1616897,김사장네명태조림,"제주특별자치도 제주시 수덕11길 66, 1층 (노형동)"
1616918,고기마씸,"제주특별자치도 제주시 도남로 68, 1층 (도남동)"
1616934,맛장터,제주특별자치도 제주시 신대로13길 10 (연동)
1617085,두찜제주일도점,"제주특별자치도 제주시 고마로 90, 1층 (일도이동)"
1617096,난타오천연동점,"제주특별자치도 제주시 연화로2길 7, 1층 (연동)"
1617100,글라성국이네,"제주특별자치도 제주시 우정로4길 35, 지1호 (외도일동)"
1617104,칠성뷔페,"제주특별자치도 제주시 관덕로11길 17, 4층 (일도일동)"
1617248,엄지횟집,"제주특별자치도 제주시 월랑로12길 11, 1층 (노형동)"
1617265,탕탕이1호점,제주특별자치도 제주시 도남로7길 46 (도남동)
1617279,할라라운지,제주특별자치도 제주시 신성로13길 28 (이도이동)
1617303,닭짱삼도중앙점,제주특별자치도 제주시 중앙로 134 (삼도이동)
1617304,돈짝인제점,"제주특별자치도 제주시 고마로 70, 1층 (일도이동)"
1617307,땅땅치킨용담점,"제주특별자치도 제주시 흥운길 13, 1층 (용담이동)"
1617308,해동이네,제주특별자치도 제주시 임항로 242 (건입동)
1617353,근경숯불구이,제주특별자치도 제주시 월랑로10길 31 (노형동)
1617355,송이축산정육식당,"제주특별자치도 제주시 신산로 52-1, 1층 (일도이동)"
1617373,분식문방구신제주1호점,"제주특별자치도 제주시 원노형로 93, 지하1층 104호 (노형동, 부영아파트상가동)"
1617380,불화성,"제주특별자치도 제주시 용화로 44, 1층 (용담이동)"
