Column1,name,address,Latitude,Longitude,상태
1469461,낮에정식밤에갈비,제주특별자치도 제주시 한림읍 한림상로 158,33.4123,126.2689,정좌표
1469493,생고기통김치찌개,제주특별자치도 제주시 한림읍 한림로5길 11,33.41353,126.2609,정좌표
1469539,다람쥐식탁,"제주특별자치도 제주시 한림읍 명월성로 10, 1층",33.4078,126.2658,정좌표
1469751,다시정한림점,"제주특별자치도 제주시 한림읍 한림상로 231, 1층",33.41887,126.2676,정좌표
1469763,피자베이한림점,"제주특별자치도 제주시 한림읍 한림중앙로 27, 1층",33.41218,126.2653,정좌표
1469773,단물다방앤까페,"제주특별자치도 제주시 한림읍 한림해안로 143, 2층",33.41573,126.2616,정좌표
1469787,일성흑돼지촌,"제주특별자치도 제주시 한림읍 한림로 127, 141호",33.38572,126.2211,정좌표
1469789,진질해녀식당,"제주특별자치도 제주시 한림읍 한림해안로 623-6, 1층",33.44303,126.2791,정좌표
1469841,금능태왁,"제주특별자치도 제주시 한림읍 금능1길 2-2, 1층",33.38676,126.2247,정좌표
1469945,롱로드,"제주특별자치도 제주시 한림읍 귀덕3길 36, 1층",33.4411,126.2792,정좌표
1470015,한림칠돈가,"제주특별자치도 제주시 한림읍 한림상로 69, 1층",33.40758,126.2616,정좌표
1470141,비올레제주,"제주특별자치도 제주시 한림읍 한림로 510, 1층",33.40427,126.2535,정좌표
1470163,보호,"제주특별자치도 제주시 한림읍 옹포7길 23-6, 1층",33.407,126.2529,정좌표
1470197,복단지식당,제주특별자치도 제주시 한림읍 한림북동길 26,33.41739,126.2639,정좌표
1470199,또래오래한림점,"제주특별자치도 제주시 한림읍 한림남길 6, 한림2리복지회관 1층",33.41147,126.2685,정좌표
1470205,선인장,"제주특별자치도 제주시 한림읍 월령안길 14-3, 1층",33.37754,126.2152,정좌표
1470323,협재신국수,"제주특별자치도 제주시 한림읍 명재로 17, 1층",33.3952,126.2488,정좌표
1470701,박초밥한림점,"제주특별자치도 제주시 한림읍 한림상로 115, 2층",33.41021,126.2652,정좌표
1470727,요미요미,"제주특별자치도 제주시 한림읍 한림남2길 4, 1층",33.41246,126.2644,정좌표
1470737,마로,제주특별자치도 제주시 한림읍 한림남길 4-2,33.41153,126.2683,정좌표
1470741,제갈양,"제주특별자치도 제주시 한림읍 한림로 155, 1층",33.38603,126.2244,정좌표
1472401,룰루랄라,"제주특별자치도 제주시 한림읍 한림로 696, 1층",33.41674,126.2653,정좌표
1472977,협재뷰깡패,"제주특별자치도 제주시 한림읍 협재1길 1, 2층",33.39561,126.2422,정좌표
1473017,제주멜즈,"제주특별자치도 제주시 한림읍 협재1길 63, 1층",33.39902,126.2464,정좌표
1473161,태희,"제주특별자치도 제주시 한림읍 한림로 635, 1층",33.41321,126.2613,정좌표
1473185,협재가게,"제주특별자치도 제주시 한림읍 한림로 332-1, 1층",33.39316,126.2403,정좌표
1473385,미향해장국한림,"제주특별자치도 제주시 한림읍 한림상로 164, 1층",33.41294,126.2693,정좌표
1473441,우리장터,"제주특별자치도 제주시 한림읍 한림로5길 7, 1층",33.41331,126.2609,정좌표
1473443,별난닭곰탕집본점,제주특별자치도 제주시 한림읍 강구로 1,33.41206,126.2689,정좌표
1473513,오데뜨,제주특별자치도 제주시 한림읍 중산간서로 4995-6,33.41087,126.2956,정좌표
1473993,흑백돈한림점,"제주특별자치도 제주시 한림읍 한림중앙로 201, 1층",33.39809,126.273,정좌표
1473997,제주발리리조트,제주특별자치도 제주시 한림읍 일주서로 5083-5,33.38939,126.2497,정좌표
1474003,면뽑는선생만두빚는아내,"제주특별자치도 제주시 한림읍 옹포2길 10, 지하1층",33.39974,126.2494,정좌표
1474649,우리뜰,"제주특별자치도 제주시 한림읍 한림로5길 26-1, 101호",33.41495,126.2617,정좌표
1474705,옹포횟집,"제주특별자치도 제주시 한림읍 옹포2길 10, 지하1층",33.39974,126.2494,정좌표
1476561,한림정육식당,제주특별자치도 제주시 한림읍 한림상로 180,33.41432,126.2695,정좌표
1476725,피어22,"제주특별자치도 제주시 한림읍 금능7길 22, 1층",33.38993,126.2278,정좌표
1477145,제주화덕족발,제주특별자치도 제주시 한림읍 한림로 653,33.41421,126.2628,정좌표
1477289,키친오즈,"제주특별자치도 제주시 한림읍 협재로 208, 1층",33.38007,126.2512,정좌표
1477369,이큐테이블,제주특별자치도 제주시 한림읍 금능남1길 6-1,33.38526,126.2299,정좌표
1477477,금악휴게소,제주특별자치도 제주시 한림읍 평화로 1360-2,33.34794,126.3593,정좌표
1477485,협재리브와일드바앤키친,제주특별자치도 제주시 한림읍 협재4길 7-8,33.39404,126.2418,정좌표
1478029,비비큐한림점,"제주특별자치도 제주시 한림읍 한림중앙로 73, 1~2층",33.40841,126.2667,정좌표
1478589,도향촌,제주특별자치도 제주시 한림읍 한림상로 166,33.41306,126.2694,정좌표
1478599,지에스25제주한림로점,"제주특별자치도 제주시 한림읍 한림로 691, 1층",33.41646,126.2647,정좌표
1478613,커피마마제주한림점,"제주특별자치도 제주시 한림읍 한림상로 136, 1층",33.41113,126.2673,정좌표
1478633,배스킨라빈스제주한림점,"제주특별자치도 제주시 한림읍 한림중앙로 31, 나동 1층",33.41209,126.2654,정좌표
1478807,세븐일레븐제주협재돌집점,"제주특별자치도 제주시 한림읍 한림로 318, 1층",33.39216,126.2395,정좌표
1478895,달숲하우스,제주특별자치도 제주시 한림읍 명재로 35,33.39477,126.251,정좌표
1479603,한림과자점,"제주특별자치도 제주시 한림읍 한림로4길 27, 1층",33.41053,126.2629,정좌표
1479689,지에스25한림금능점,"제주특별자치도 제주시 한림읍 한림로 224, 1층",33.38662,126.2317,정좌표
1479709,씨유제주한림항점,제주특별자치도 제주시 한림읍 한림해안로 160,33.41637,126.2635,정좌표
1479729,온에어PC방한림점,"제주특별자치도 제주시 한림읍 한림중앙로 46, 1층",33.4106,126.2651,정좌표
1479735,씨유한림중앙점,제주특별자치도 제주시 한림읍 한림중앙로 23,33.41271,126.265,정좌표
1479755,제주머슴네,제주특별자치도 제주시 한림읍 옹포2길 8,33.40017,126.25,정좌표
1482071,리치망고협재점,"제주특별자치도 제주시 한림읍 한림로 482, 1층",33.4024,126.2518,정좌표
1482383,리틀로컬,제주특별자치도 제주시 한림읍 한림남2길 24,33.41175,126.2625,정좌표
1482389,수제옛날통닭,"제주특별자치도 제주시 한림읍 한림북동길 7-6, 1층",33.41617,126.2637,정좌표
1482391,난타오천한림점,제주특별자치도 제주시 한림읍 한림로 655,33.41435,126.263,정좌표
1482397,피자굽는곰아저씨,제주특별자치도 제주시 한림읍 한림중앙로 10-1,33.4138,126.2644,정좌표
1482405,달리북카페,"제주특별자치도 제주시 한림읍 월계로 18, 1층",33.4033,126.2547,정좌표
1482565,키리코,"제주특별자치도 제주시 한림읍 명월성로 18, 1층",33.40718,126.2655,정좌표
1482631,더네스트,"제주특별자치도 제주시 한림읍 한림로 691, 1층",33.41646,126.2647,정좌표
1482791,지에스25제주한수풀점,"제주특별자치도 제주시 한림읍 한림로 708, 1층",33.41803,126.2647,정좌표
1482811,시차,"제주특별자치도 제주시 한림읍 귀덕5길 20-14, 가동 1층",33.44151,126.2825,정좌표
1482831,스타벅스제주협재점,"제주특별자치도 제주시 한림읍 한림로 337, 1~2층",33.39384,126.2403,정좌표
1482851,세븐일레븐한림고점,"제주특별자치도 제주시 한림읍 월계로 66, 103동 1층 103호",33.39977,126.2575,정좌표
1482871,렌시아,"제주특별자치도 제주시 한림읍 협재로 227-3, 1층",33.37829,126.2523,정좌표
1482881,세븐일레븐제주한림오션캐슬점,"제주특별자치도 제주시 한림읍 한림로 554, 101동 105호 (한림 오션캐슬 아파트)",33.40641,126.2577,정좌표
1482901,기완이네,"제주특별자치도 제주시 한림읍 한림로 336, 1층",33.39339,126.2406,정좌표
1483051,메리,"제주특별자치도 제주시 한림읍 한림로 648, 1층",33.41362,126.2626,정좌표
1483069,제주김귤,"제주특별자치도 제주시 한림읍 금능남로 28, 1층",33.38491,126.2335,정좌표
1483195,달달한하루,"제주특별자치도 제주시 한림읍 한창로 1288, 2층",33.35664,126.2978,정좌표
1483221,투애니원마카롱,"제주특별자치도 제주시 한림읍 협재로 114, B동 1층",33.38811,126.2486,정좌표
1483623,커피가좋아,"제주특별자치도 제주시 한림읍 한림해안로 166, 1층",33.41697,126.2632,정좌표
1483625,셀럽커피,제주특별자치도 제주시 한림읍 금능3길 28,33.38907,126.2261,정좌표
1483639,씨유켄싱턴리조트제주,"제주특별자치도 제주시 한림읍 한림해안로 530, 켄싱턴리조트 1층",33.43576,126.2744,정좌표
1483659,뵤뵤,"제주특별자치도 제주시 한림읍 명재로 155, 1~2층",33.39254,126.2631,정좌표
1484031,카페아꼼,"제주특별자치도 제주시 한림읍 수원7길 15, 2층",33.4269,126.269,정좌표
1484121,펄랑,"제주특별자치도 제주시 한림읍 한림해안로 275, 2층",33.42586,126.264,정좌표
1484251,감성커피한림점,"제주특별자치도 제주시 한림읍 한림중앙로 40, 1층",33.41124,126.2652,정좌표
1484313,김밥천국한림점,"제주특별자치도 제주시 한림읍 한림중앙로 4, 1층",33.41446,126.2646,정좌표
1484333,비선루,제주특별자치도 제주시 한림읍 협재1길 47-1,33.3991,126.2445,정좌표
1484607,한림작은영화관,"제주특별자치도 제주시 한림읍 한림중앙로 71-9, 1층",33.40874,126.2681,정좌표
1484621,에브리데이크리스마스카페,"제주특별자치도 제주시 한림읍 한림로 782, 1층",33.42346,126.2666,정좌표
1484641,영신상회,제주특별자치도 제주시 한림읍 명월성로 673,33.35092,126.2559,정좌표
1484661,포리식당,"제주특별자치도 제주시 한림읍 한림해안로 21, 1층",33.40689,126.2542,정좌표
1484681,세븐일레븐제주한림센터점,"제주특별자치도 제주시 한림읍 한림서길 38, 1층",33.4089,126.2603,정좌표
1484711,블루하이,"제주특별자치도 제주시 한림읍 한림로 77, 1층",33.38159,126.2185,정좌표
1484715,섬,"제주특별자치도 제주시 한림읍 비양도길 32-5, 1층",33.40537,126.2283,정좌표
1485355,옥스,"제주특별자치도 제주시 한림읍 한림로 545, 1층",33.40651,126.2561,인근좌표
1485367,바스켓,"제주특별자치도 제주시 한림읍 동명2길 32, 1층",33.40482,126.2607,인근좌표
1485371,한형수정원,"제주특별자치도 제주시 한림읍 옹포2길 44, 2층",33.3968,126.2506,정좌표
1485391,카페귤한가,"제주특별자치도 제주시 한림읍 명월성로 238-1, 1층",33.38822,126.2629,정좌표
1485411,토끼네집으로오세요,제주특별자치도 제주시 한림읍 귀덕로 6-1,33.44341,126.2956,정좌표
1485431,벌크커피한림점,"제주특별자치도 제주시 한림읍 한림중앙로 71, 1층",33.40873,126.2667,정좌표
1485441,카페리꼬,"제주특별자치도 제주시 한림읍 한림로 542, 1층 101호",33.40576,126.2565,정좌표
1485553,마녀카롱,"제주특별자치도 제주시 한림읍 월령1길 24, 1,2층",33.37586,126.2145,정좌표
1485765,김한미술관,"제주특별자치도 제주시 한림읍 한상로 115, 1층",33.40904,126.2872,정좌표
1486035,마르조,"제주특별자치도 제주시 한림읍 한림해안로 592, 1층",33.44065,126.2771,정좌표
1486069,세븐일레븐제주한림로점,"제주특별자치도 제주시 한림읍 한림로 362, 1층",33.39514,126.2423,정좌표
1486089,마리따,"제주특별자치도 제주시 한림읍 한림해안로 704, 1층",33.44435,126.2845,정좌표
1486741,우무,"제주특별자치도 제주시 한림읍 한림로 542-1, 1층",33.40589,126.2564,정좌표
1488759,지에스25한림옹포점,"제주특별자치도 제주시 한림읍 한림로 494, 1층",33.40326,126.2522,정좌표
1488779,신전떡볶이한림점,"제주특별자치도 제주시 한림읍 한림상로 110, 나동 1층",33.40914,126.2652,정좌표
1488799,7번가피자제주한림점,"제주특별자치도 제주시 한림읍 동명북1길 11, 1층",33.40867,126.2643,정좌표
1488887,슬랩,"제주특별자치도 제주시 한림읍 한림로 354, 2층",33.39484,126.2416,정좌표
1489201,미크라트,"제주특별자치도 제주시 한림읍 명랑남동길 32, 1층",33.41698,126.273,정좌표
1489771,씨유제주협재점,"제주특별자치도 제주시 한림읍 한림로 387-1, 1층",33.39713,126.244,정좌표
1491131,그데이메이트,제주특별자치도 제주시 한림읍 옹포9길 15,33.40614,126.2551,정좌표
1491153,카페화가,"제주특별자치도 제주시 한림읍 명상로 53, 1층",33.37485,126.2796,정좌표
1491195,알엔알,"제주특별자치도 제주시 한림읍 협재1길 29, 1층",33.39788,126.2432,정좌표
1491283,무아르카페,"제주특별자치도 제주시 한림읍 용금로 1068, 18동 1층",33.3489,126.284,정좌표
1491363,구움몽,"제주특별자치도 제주시 한림읍 한림로 359, 1층",33.39526,126.242,정좌표
1491479,불타는여고24시한림점,"제주특별자치도 제주시 한림읍 한림상로 279, 1층",33.42268,126.266,정좌표
1491491,듬삭한,"제주특별자치도 제주시 한림읍 한림로 450, 1층 101호",33.40021,126.2494,정좌표
1492079,파스쿠찌한림점,"제주특별자치도 제주시 한림읍 한림남1길 3, 1,2층 101, 205호",33.4128,126.2654,정좌표
1492121,오아시스,제주특별자치도 제주시 노연로 81 (연동),33.4861,126.4888,정좌표
1497203,다래,"제주특별자치도 제주시 중앙로5길 1 (일도일동,(해짓골1로3))",33.5157,126.5252,인근좌표
1497347,호로록,제주특별자치도 제주시 서광로26길 1 (삼도일동),33.49958,126.5244,정좌표
1501163,미풍해장국,"제주특별자치도 제주시 연신로 89, 1층 (이도이동)",33.49397,126.5491,정좌표
1502483,시골밥상,제주특별자치도 제주시 조천읍 선진길 7-19,33.45998,126.7034,정좌표
1504883,동이트는집,제주특별자치도 제주시 신산로 71 (일도이동),33.50741,126.5344,정좌표
1507313,제주해룡,제주특별자치도 제주시 번영로 476 (봉개동),33.49125,126.5926,정좌표
1507565,김군빌리지,"제주특별자치도 제주시 어영길 1-1, 1층 (용담삼동)",33.51974,126.4943,정좌표
1507575,웨이브,"제주특별자치도 제주시 신성로 101, 1층 (이도이동)",33.49683,126.5297,정좌표
1507935,국수사랑,제주특별자치도 제주시 일주동로 236 (화북일동),33.51924,126.5708,정좌표
1507983,야래향,제주특별자치도 제주시 동문로10길 6 (일도일동),33.51267,126.5311,정좌표
1509683,하효소머리국밥,"제주특별자치도 제주시 인다4길 4, 1층 (아라일동)",33.47411,126.5487,정좌표
