Column1,name,address,Latitude,Longitude,상태
976530,네네치킨남원점,"제주특별자치도 서귀포시 남원읍 남원체육관로 342, 상가동 1층 103호 (서귀포남원엘에이치아파트)",33.28054,126.7215,정좌표
976602,시카고피자성산점,제주특별자치도 서귀포시 성산읍 일주동로 4232,33.45083,126.9118,정좌표
976666,푸른솔,제주특별자치도 서귀포시 남원읍 남한로 11,33.28004,126.7177,정좌표
976674,용머리해물정식,제주특별자치도 서귀포시 성산읍 환해장성로 467,33.39875,126.9051,정좌표
976694,흑돈플러스,제주특별자치도 서귀포시 대포로 132 (대포동),33.23915,126.435,정좌표
977576,메이비아모르,"제주특별자치도 서귀포시 신중로 50, 1층 (법환동, KT신서귀포빌딩 )",33.25446,126.5105,정좌표
977586,할매식당,제주특별자치도 서귀포시 부두로 40 (서귀동),33.24133,126.5645,정좌표
977748,삼촌네돌판구이,제주특별자치도 서귀포시 서문로29번길 25 (서귀동),33.24811,126.5596,정좌표
977762,한잔하게,제주특별자치도 서귀포시 신동로27번길 27 (서호동),33.25224,126.5113,정좌표
977798,이층으로,제주특별자치도 서귀포시 성산읍 동류암로39번길 15,33.44776,126.9154,정좌표
977858,칼초네화덕피자,제주특별자치도 서귀포시 예래로 115 (상예동),33.25208,126.3957,정좌표
979360,복댕이,"제주특별자치도 서귀포시 성산읍 일출로 34, 1~2층",33.44762,126.9166,정좌표
982624,이모네손칼국수,제주특별자치도 서귀포시 남원읍 태위로689번길 1,33.27954,126.7201,정좌표
982656,어조횟집,제주특별자치도 서귀포시 성산읍 일출로 233,33.46044,126.9308,정좌표
983638,고성장터국밥,제주특별자치도 서귀포시 성산읍 고성동서로45번길 19,33.45205,126.9122,정좌표
983924,신라원중문점,제주특별자치도 서귀포시 천제연로 107 (색달동),33.25495,126.4172,정좌표
985500,샤브랑,제주특별자치도 서귀포시 동문로 31 (서귀동),33.25103,126.5643,정좌표
985516,돌하르방뚝배기식당,제주특별자치도 서귀포시 성산읍 일출로 264,33.4612,126.9338,정좌표
985870,오조반점,제주특별자치도 서귀포시 성산읍 한도로 124,33.46855,126.9212,정좌표
