Column1,name,address,Latitude,Longitude,상태
1718954,무우수커피로스터스,제주특별자치도 제주시 조천읍 조천11길 22-2,33.5378,126.6384,정좌표
1719034,더벤티제주노형점,"제주특별자치도 제주시 월랑로 5, 1층 (노형동)",33.48669,126.4783,정좌표
1719062,베이크,제주특별자치도 제주시 우정로 60 (외도일동),33.48752,126.4307,정좌표
1719085,노형로22번가,"제주특별자치도 제주시 노형로 22, 2층 (해안동)",33.46162,126.4505,정좌표
1719087,앤티앤스프레즐제주시청점,"제주특별자치도 제주시 중앙로 222, 1층 (이도이동)",33.49975,126.5295,정좌표
1719140,디오커피랩,"제주특별자치도 제주시 과원로 70, 1층 (연동)",33.4758,126.4912,정좌표
1719176,카페679,"제주특별자치도 제주시 조천읍 선교로 679, 1층",33.44769,126.7035,정좌표
1719190,블루메베이글,"제주특별자치도 제주시 가령로4길 3, 1층 (이도이동)",33.49671,126.5331,정좌표
1719259,지에스25노형타워점,"제주특별자치도 제주시 노형로 407, 노형타워 1층 108호 (노형동)",33.48582,126.4783,정좌표
1719556,도리관광농원,"제주특별자치도 제주시 조천읍 비자림로 607, 1~2층",33.43395,126.6727,정좌표
1719562,고도,"제주특별자치도 제주시 어영길 15, 1층 (용담삼동)",33.51907,126.4951,정좌표
1719746,오렌다핏,"제주특별자치도 제주시 조천읍 함덕18길 19, 2층",33.53948,126.6702,정좌표
1719752,탤러해시,"제주특별자치도 제주시 월랑로 47, 주립빌딩 1층 (노형동)",33.48947,126.475,정좌표
1719755,아꼬운제주,"제주특별자치도 제주시 오광로 92, 현하우스 1층 (이호이동)",33.48781,126.4591,정좌표
1719765,이든,"제주특별자치도 제주시 진남로 21-37, 1층 (화북일동)",33.52345,126.5647,정좌표
1719770,탐앤탐스커피외도점,"제주특별자치도 제주시 월대5길 6, 1층 (외도이동)",33.49453,126.4356,정좌표
1719812,세븐일레븐현대오피스텔점,"제주특별자치도 제주시 도령로 87, 현대오피스텔 1층 103호 (연동)",33.49087,126.4873,정좌표
1719819,세듈러스,"제주특별자치도 제주시 아란11길 9-1, 1층 (아라일동)",33.4702,126.543,정좌표
1719824,양가형제노형,"제주특별자치도 제주시 노형4길 10, 1층 1호 (노형동)",33.48181,126.4753,정좌표
1719901,오설록딜리버리스토어,"제주특별자치도 제주시 연북로 92, 진현빌딩 3층 (연동)",33.4815,126.4912,정좌표
1719933,씨유제주스카이점,"제주특별자치도 제주시 노연로 117-1, 1층 (연동, 거송빌)",33.486,126.4928,정좌표
1720013,베이커블,"제주특별자치도 제주시 노형7길 9-5, 라니빌 1층 (노형동)",33.48046,126.4768,정좌표
1720033,세븐일레븐제주대학교병원점,"제주특별자치도 제주시 아란13길 15, 제주대학교병원 본관3동 지하1층 (아라일동)",33.46721,126.5452,정좌표
1720043,칼라,"제주특별자치도 제주시 화삼북로2길 19, 103호 (화북일동)",33.51614,126.5767,인근좌표
