Column1,name,address,Latitude,Longitude,상태
1615731,난타오천뜨란채점,제주특별자치도 제주시 정존11길 39 (노형동),33.4866334,126.4740283,정좌표
1615738,보해국수,제주특별자치도 제주시 오복4길 6 (이도이동),33.4955405,126.5363223,정좌표
1615741,두남자이야기,제주특별자치도 제주시 삼무로 77 (연동),33.4900253,126.4950528,정좌표
1615853,도리,"제주특별자치도 제주시 도공로 48, 2층 (도두일동)",33.5022675,126.466377,정좌표
1615897,평산,제주특별자치도 제주시 정든로2길 14 (이도이동),33.4975342,126.538639,정좌표
1615904,춘향골,"제주특별자치도 제주시 원노형10길 32 (노형동,(마두천길86))",33.4832934,126.48618,정좌표
1615910,코멧1987,"제주특별자치도 제주시 광양11길 8, 1층 (이도이동)",33.4990741,126.5310975,정좌표
1615922,타블도트,"제주특별자치도 제주시 건주로4길 6-1, 2층 (도련일동)",33.516388,126.579891,정좌표
1615933,노른자,제주특별자치도 제주시 조천읍 조함해안로 514,33.5424913,126.667586,정좌표
1616125,고향숯불막창삼화점,"제주특별자치도 제주시 일주동로 281, 1층 (화북일동)",33.5213731,126.5748215,정좌표
1616144,제주명태어장삼화점,"제주특별자치도 제주시 화삼북로 45, 1층 (화북일동)",33.5175135,126.5779599,정좌표
1616176,스푼더마켓제주점,"제주특별자치도 제주시 연북로 76, 2층 (연동)",33.4815304,126.4894642,정좌표
1616222,춘천명동닭갈비아라점,"제주특별자치도 제주시 중앙로 517, 1층 (아라이동)",33.476097,126.5543009,정좌표
1616261,다정이네,"제주특별자치도 제주시 조천읍 와흘로 74, 1층",33.4757194,126.6563627,정좌표
1616267,피노키오,제주특별자치도 제주시 우도면 우도로 339,33.5204327,126.9483033,정좌표
1616528,버무리떡볶이삼화점,"제주특별자치도 제주시 화삼북로 139, 1층 (삼양이동)",33.5184397,126.5817978,정좌표
1616535,제주제라진통닭,"제주특별자치도 제주시 신설로 3, 1층 (이도이동)",33.4947935,126.5476238,정좌표
1616557,싱싱회센타,"제주특별자치도 제주시 동문로4길 9, 2-8,9,3-10호 (일도일동)",33.5122057,126.527931,정좌표
1616821,대학로황가네,제주특별자치도 제주시 광양13길 8 (이도이동),33.4988005,126.5313626,정좌표
1616835,제주불백,제주특별자치도 제주시 도령로13길 16-3 (연동),33.4929382,126.4891251,정좌표
1616875,소선우식당,제주특별자치도 제주시 선반남2길 25 (화북일동),33.5124,126.5624321,정좌표
1616876,북경양꼬치,제주특별자치도 제주시 신대로16길 50 (연동),33.4870309,126.4912451,정좌표
1616890,부가네얼큰이서사라점,"제주특별자치도 제주시 중앙로24길 20, 1층 (삼도이동)",33.5061056,126.5230708,정좌표
1616891,낭만주의,"제주특별자치도 제주시 내도1길 18-1, 지하1층 (내도동)",33.4955266,126.4376599,정좌표
1616897,김사장네명태조림,"제주특별자치도 제주시 수덕11길 66, 1층 (노형동)",33.4842277,126.4708589,정좌표
1616918,고기마씸,"제주특별자치도 제주시 도남로 68, 1층 (도남동)",33.4943023,126.527696,정좌표
1616934,맛장터,제주특별자치도 제주시 신대로13길 10 (연동),33.4874833,126.4978405,정좌표
1617085,두찜제주일도점,"제주특별자치도 제주시 고마로 90, 1층 (일도이동)",33.5062096,126.5406757,정좌표
1617096,난타오천연동점,"제주특별자치도 제주시 연화로2길 7, 1층 (연동)",33.4775499,126.4882014,정좌표
1617100,글라성국이네,"제주특별자치도 제주시 우정로4길 35, 지1호 (외도일동)",33.4917968,126.4296915,정좌표
1617104,칠성뷔페,"제주특별자치도 제주시 관덕로11길 17, 4층 (일도일동)",33.5146549,126.5252461,정좌표
1617248,엄지횟집,"제주특별자치도 제주시 월랑로12길 11, 1층 (노형동)",33.4900129,126.4766299,정좌표
1617265,탕탕이1호점,제주특별자치도 제주시 도남로7길 46 (도남동),33.496178,126.5272015,정좌표
1617279,할라라운지,제주특별자치도 제주시 신성로13길 28 (이도이동),33.4978427,126.5301961,정좌표
1617303,닭짱삼도중앙점,제주특별자치도 제주시 중앙로 134 (삼도이동),33.5120344,126.5209341,정좌표
1617304,돈짝인제점,"제주특별자치도 제주시 고마로 70, 1층 (일도이동)",33.5081744,126.5398592,정좌표
1617307,땅땅치킨용담점,"제주특별자치도 제주시 흥운길 13, 1층 (용담이동)",33.5103002,126.5111415,정좌표
1617308,해동이네,제주특별자치도 제주시 임항로 242 (건입동),33.5185531,126.5403037,정좌표
1617353,근경숯불구이,제주특별자치도 제주시 월랑로10길 31 (노형동),33.4909524,126.4783211,정좌표
1617355,송이축산정육식당,"제주특별자치도 제주시 신산로 52-1, 1층 (일도이동)",33.5088301,126.5331626,정좌표
1617373,분식문방구신제주1호점,"제주특별자치도 제주시 원노형로 93, 지하1층 104호 (노형동, 부영아파트상가동)",33.4800824,126.4853946,정좌표
1617380,불화성,"제주특별자치도 제주시 용화로 44, 1층 (용담이동)",33.509426,126.5080978,정좌표
1617389,네네치킨도남점,"제주특별자치도 제주시 독짓골4길 11, 101호 (도남동)",33.4915464,126.530748,정좌표
1617415,무시로,"제주특별자치도 제주시 서광로32길 28-1, 2층 (이도이동)",33.4981544,126.5291901,정좌표
1617430,화연,"제주특별자치도 제주시 신광로 78, 1층 (연동)",33.4852567,126.4897029,정좌표
1617449,신번지,"제주특별자치도 제주시 신대로20길 52 (연동,(1층))",33.4839022,126.4909282,정좌표
1617452,함덕해장국,제주특별자치도 제주시 조천읍 신북로 650,33.539495,126.678577,정좌표
1617674,휴계농장,제주특별자치도 제주시 청귤로 16 (이도이동),33.4995476,126.5379713,정좌표
1617683,오키나와,제주특별자치도 제주시 진군중길 2 (노형동),33.4786435,126.4794336,정좌표
1617715,대학동길,"제주특별자치도 제주시 용담로 41-1, 1층 (용담삼동)",33.513193,126.5075197,정좌표
1617718,우도이야기,"제주특별자치도 제주시 우도면 우도해안길 504, 1층",33.5195396,126.949412,정좌표
1617792,제주정가네밥상,"제주특별자치도 제주시 아란서길 110, 지하1층 (아라일동)",33.4261379,126.5626925,정좌표
1617943,로또돼지,"제주특별자치도 제주시 용담로 16, 2~3층 (용담이동)",33.51321,126.5044,정좌표
1617944,제주에가면,"제주특별자치도 제주시 탑동로 119, 1층 (삼도이동)",33.5147226,126.5180767,정좌표
1618312,추사장추어탕,제주특별자치도 제주시 서광로29길 12 (이도일동),33.5012887,126.5268772,정좌표
1618313,도남돼지,"제주특별자치도 제주시 신성로 36, 101호 (도남동)",33.4962,126.523521,정좌표
1618341,낭푼이보리밥,"제주특별자치도 제주시 동문로4길 9, 지하1층 1-20호 (일도일동)",33.5120807,126.5283388,정좌표
1618343,가인,"제주특별자치도 제주시 제원1길 23, 103호 (연동)",33.4893902,126.4875913,정좌표
1618418,미세스테라,"제주특별자치도 제주시 간월동로 39, 1층 (아라이동)",33.4872123,126.5464775,정좌표
1618422,꼬지사께아라점,"제주특별자치도 제주시 중앙로 576, 1층 (아라일동)",33.4719689,126.5453583,정좌표
1618426,크라운호프외도점,"제주특별자치도 제주시 우정로13길 3, 101호 (외도일동)",33.4869726,126.4319098,정좌표
1618429,팔팔수제치킨,"제주특별자치도 제주시 서부두남길 24, 1층 (건입동)",33.5162964,126.527725,정좌표
