Column1,name,address,Latitude,Longitude,상태
700857,서프로와,"제주특별자치도 제주시 테우해안로 132, 지하1층 (이호일동)",33.49776,126.448,정좌표
701426,오캄커피,"제주특별자치도 제주시 광양11길 16, 101호 (이도이동, 희봉빌라)",33.49954,126.5318,정좌표
701470,황소곱창,제주특별자치도 제주시 삼무로3길 8 (연동),33.49052,126.4951,정좌표
701510,삼아갈비,제주특별자치도 제주시 서광로21길 4-1 (삼도일동),33.50051,126.5222,정좌표
701512,최가네옛날손두부집,"제주특별자치도 제주시 사장2길 36, 1층 (연동)",33.4843,126.4921,정좌표
701576,민성이네식당,"제주특별자치도 제주시 도령로11길 20, 1층 (연동, 대원빌라1차)",33.49235,126.4868,정좌표
701579,파도소리해녀촌,제주특별자치도 제주시 우도면 우도해안길 510,33.51976,126.9489,정좌표
701903,유가네한우곰탕,"제주특별자치도 제주시 추자면 추자로 50, 1층",33.96272,126.2942,정좌표
701904,제주돈아도두점,제주특별자치도 제주시 서해안로 272 (도두이동),33.50925,126.4747,정좌표
702013,정개,"제주특별자치도 제주시 서사로21길 3, 1층 (삼도일동)",33.49896,126.5202,정좌표
702173,바르다김선생제주연동신시가지점,"제주특별자치도 제주시 연북로 24, 지하1층 102호 (노형동)",33.48167,126.4839,정좌표
702251,옛날아우내순대외도점,"제주특별자치도 제주시 도근내길 12-1, 1층 (외도일동)",33.4924,126.4326,정좌표
702281,레드팬더,제주특별자치도 제주시 신대로18길 51 (연동),33.48461,126.491,정좌표
702284,신라스테이제주카페(CAFE),"제주특별자치도 제주시 노연로 100, 11층 (연동)",33.4855,126.491,정좌표
702312,레스토랑더원,"제주특별자치도 제주시 사장3길 33, 1층 (연동)",33.48253,126.4915,정좌표
702317,상구비어삼도점,"제주특별자치도 제주시 서광로 240-1, 1층 (삼도일동)",33.49955,126.5221,정좌표
702324,마린수산회센타,"제주특별자치도 제주시 동문로2길 10, 1층 (일도일동, 산지천복개 제1공구 비동6호)",33.51236,126.5266,정좌표
702378,팔팔돼지,제주특별자치도 제주시 제원길 7 (연동),33.48924,126.4896,정좌표
702491,제주공항본점공항뚝배기,제주특별자치도 제주시 연삼로 31 (연동),33.49387,126.4959,정좌표
703019,샤오핑,"제주특별자치도 제주시 연신로 71, 1층 (이도이동)",33.49522,126.5482,정좌표
703028,목마,"제주특별자치도 제주시 곤을길 23, 1층 (화북일동)",33.52309,126.5596,정좌표
703064,노랑통닭,제주특별자치도 제주시 신대로16길 44 (연동),33.48708,126.4914,정좌표
703132,20세기소년,"제주특별자치도 제주시 동광로1길 2, 1층 (이도일동)",33.50141,126.5296,정좌표
703152,모리아짬뽕,"제주특별자치도 제주시 조천읍 함덕로 32, 1층",33.54199,126.6719,정좌표
703270,용우동제주시청점,"제주특별자치도 제주시 서광로 292-1, 1층 (이도이동)",33.50016,126.5277,정좌표
703290,돈먹고돈주기,"제주특별자치도 제주시 무근성7길 22, 1층 (삼도이동)",33.51445,126.5207,정좌표
703299,투다리한라점,"제주특별자치도 제주시 진남로6길 26, 1층 (화북일동)",33.52109,126.5659,정좌표
703315,전주이모네,제주특별자치도 제주시 연동9길 37 (연동),33.49684,126.5011,정좌표
703427,설빙신제주직영점,제주특별자치도 제주시 신광로 65 (연동),33.48618,126.4902,정좌표
703493,정순화손두부,제주특별자치도 제주시 조천읍 일주동로 1415,33.54466,126.6861,정좌표
703523,오누이밥상,제주특별자치도 제주시 추자면 추자로 68,33.96127,126.2945,정좌표
703536,우도이모네식당,제주특별자치도 제주시 우도면 우목길 6,33.50822,126.9529,정좌표
703537,멍군식당,제주특별자치도 제주시 조천읍 신북로 601,33.5401,126.6737,정좌표
703561,일품왕솥뚜껑,제주특별자치도 제주시 고마로15길 3 (일도이동),33.50704,126.5409,정좌표
703563,쭈꾸쭈꾸쭈꾸미,"제주특별자치도 제주시 연동11길 33 (연동, 제1호)",33.49665,126.5008,정좌표
703907,후니참치,제주특별자치도 제주시 노연로 39 (노형동),33.48624,126.4843,정좌표
703911,아침바다,"제주특별자치도 제주시 수덕5길 66, 103호 (노형동)",33.48361,126.4725,정좌표
705531,고씨회관시청점,제주특별자치도 제주시 신성로13길 30 (이도이동),33.49764,126.5303,정좌표
705533,제주예찬,"제주특별자치도 제주시 1100로 2997, 1층 (노형동)",33.45407,126.4869,정좌표
705971,짬뽕에취한날,제주특별자치도 제주시 귀아랑2길 4 (연동),33.49111,126.4979,정좌표
706156,하노이안브라더스,제주특별자치도 제주시 천수동로 1 (건입동),33.50964,126.5436,정좌표
706226,황궁쟁반행복반점,제주특별자치도 제주시 절물3길 24 (외도일동),33.49047,126.4332,정좌표
706227,착한집,제주특별자치도 제주시 서광로 98 (오라삼동),33.49997,126.507,정좌표
707427,흑마가든,제주특별자치도 제주시 연화로2길 20-1 (연동),33.47729,126.4893,정좌표
707445,고래냉삼,제주특별자치도 제주시 우령2길 29-5 (외도일동),33.4866,126.4322,정좌표
707466,연동한라국시,제주특별자치도 제주시 신대로18길 41 (연동),33.48451,126.4921,정좌표
707467,고객식당,"제주특별자치도 제주시 오현길 78-6, 1층 (이도일동)",33.5117,126.5258,정좌표
707684,술집마씸,제주특별자치도 제주시 조천읍 함덕13길 2,33.5414,126.6677,정좌표
707690,육장갈비제주본점,제주특별자치도 제주시 승천로 2 (이도이동),33.49724,126.538,정좌표
707703,방일해장국제주본점,"제주특별자치도 제주시 월광로 163, 1층 (노형동)",33.49288,126.4746,정좌표
707730,남문숯불바베큐앤치킨신촌점,제주특별자치도 제주시 조천읍 신촌3길 7,33.53362,126.6186,정좌표
707750,텅꼬치구이도남점,"제주특별자치도 제주시 도남로 12 (삼도일동,지상1층)",33.49896,126.5249,정좌표
707752,오션베스트빌,제주특별자치도 제주시 조천읍 조함해안로 221,33.55308,126.6447,정좌표
707782,유행,제주특별자치도 제주시 신대로10길 32 (연동),33.49103,126.4933,정좌표
707783,아라숯불갈비,제주특별자치도 제주시 중앙로 555 (아라일동),33.47367,126.5459,정좌표
707852,만사오케이,"제주특별자치도 제주시 전농로 81, 1층 (삼도이동)",33.50452,126.5219,정좌표
707871,잠녀해녀촌,제주특별자치도 제주시 조천읍 조함해안로 410,33.54628,126.66,정좌표
708285,비에이치씨신제주점,제주특별자치도 제주시 원노형남1길 23 (노형동),33.48413,126.483,정좌표
708336,주민상회신제주점,제주특별자치도 제주시 원노형6길 31 (노형동),33.48324,126.4829,정좌표
708343,월계,"제주특별자치도 제주시 월평1길 8 (월평동,(월평1로 47))",33.47164,126.5737,정좌표
708345,젬마손,"제주특별자치도 제주시 진동로 3, 101호 (화북일동,건하주택)",33.51935,126.5686,정좌표
708352,국수장터,제주특별자치도 제주시 동광로 50-1 (이도이동),33.50275,126.5342,정좌표
708423,황금섬숯불갈비,제주특별자치도 제주시 추자면 추자로 36,33.96302,126.2957,정좌표
708428,바다풍경,제주특별자치도 제주시 서해안로 654 (용담삼동),33.51618,126.5068,정좌표
714935,아침하늘,제주특별자치도 제주시 조천읍 조와로 5,33.53495,126.6361,정좌표
714957,국수상회,제주특별자치도 제주시 연동10길 7 (연동),33.49704,126.5006,정좌표
714960,달빛노을,"제주특별자치도 제주시 중앙로 22, 지하1층 (건입동)",33.51639,126.5246,정좌표
714963,세이슌칠성로점,"제주특별자치도 제주시 관덕로11길 35, 2층 (건입동)",33.51611,126.5255,정좌표
714981,본죽앤비빔밥아라점,"제주특별자치도 제주시 아란9길 6, 1층 (아라일동)",33.4726,126.545,정좌표
714991,얼얼이불막창,"제주특별자치도 제주시 건주로4길 26, 1층 (도련일동)",33.51668,126.5789,정좌표
714993,24시얼큰시원생고기김치찌개외도점,"제주특별자치도 제주시 우정로 85, 1층 (외도일동)",33.48513,126.4311,정좌표
715047,월랑다호,"제주특별자치도 제주시 월랑로6길 32, 1층 (노형동)",33.49003,126.4795,정좌표
715048,도남황금,제주특별자치도 제주시 신성로 98 (도남동),33.49622,126.5295,정좌표
715085,제주돈,제주특별자치도 제주시 연신로 83 (이도이동),33.49443,126.5488,정좌표
715122,청해회센타,"제주특별자치도 제주시 신대로10길 28-1, 1층 (연동)",33.49101,126.4937,정좌표
715136,바다양푼이동태탕외도점,"제주특별자치도 제주시 우령6길 77, 101호 (외도일동, 한영빌딩)",33.48444,126.429,정좌표
715149,시골뚝배기,"제주특별자치도 제주시 선반로 19 (화북일동, 외3필지)",33.51508,126.5602,정좌표
715150,제주밥상,제주특별자치도 제주시 사장3길 27 (연동),33.48277,126.4919,정좌표
715390,손사장네행복하소,"제주특별자치도 제주시 연북로 74, 1층 (연동)",33.48155,126.4892,정좌표
715401,서가장인곱창연동점,제주특별자치도 제주시 신대로16길 47 (연동),33.48674,126.4914,정좌표
715403,옆구리터진올레김밥,제주특별자치도 제주시 공설로 5 (삼도일동),33.49928,126.5166,정좌표
715410,오니기리와이규동일도점,제주특별자치도 제주시 고마로 98-1 (일도이동),33.50553,126.5409,정좌표
715416,레인보우치킨,"제주특별자치도 제주시 조천읍 중산간동로 814, 1층",33.4924,126.6691,정좌표
715444,용담포차,제주특별자치도 제주시 흥운길 11 (용담이동),33.51019,126.511,정좌표
715446,천원,"제주특별자치도 제주시 관덕로8길 22 (삼도이동,(남문로 42))",33.51121,126.5231,정좌표
715447,오늘은좋은날,제주특별자치도 제주시 우령8길 17 (외도일동),33.48968,126.4275,정좌표
715753,보리문디,제주특별자치도 제주시 중앙로 598 (아라일동),33.46991,126.546,정좌표
715779,금관,"제주특별자치도 제주시 탑동로 114 (용담일동,외1필지 제101호)",33.51467,126.5171,정좌표
715787,통통시장,"제주특별자치도 제주시 연삼로 541 (일도이동,(연삼로589))",33.50255,126.5466,정좌표
715805,요기소바외도점,"제주특별자치도 제주시 우령안1길 29, 1층 (외도일동)",33.48621,126.4296,정좌표
715811,빅디어,"제주특별자치도 제주시 신성로12길 2, 1층 (이도이동)",33.49665,126.5301,정좌표
715834,정암식당,"제주특별자치도 제주시 동광로1길 30, 1층 (이도일동)",33.50328,126.5281,정좌표
715841,곰,제주특별자치도 제주시 복지로3길 1-4 (도남동),33.48931,126.5232,정좌표
716609,나홀로,"제주특별자치도 제주시 서해안로 488, 2층 (용담삼동)",33.51909,126.4913,정좌표
716645,먹주,제주특별자치도 제주시 신성로13길 1 (이도이동),33.49985,126.529,정좌표
716649,큰맘할매순대국조천점,"제주특별자치도 제주시 조천읍 신북로 68, 103,104호",33.5341,126.6213,정좌표
716737,오르방,"제주특별자치도 제주시 신광로8길 14, 1층 (연동)",33.4871,126.4885,정좌표
716747,타코밤,"제주특별자치도 제주시 우도면 우도해안길 780-2, 1층",33.51625,126.9576,정좌표
716764,기쁨이네해물탕앤돌솥밥,제주특별자치도 제주시 조천읍 신북로 527-1,33.54203,126.6663,정좌표
717502,해아름,"제주특별자치도 제주시 가령로 7, 1층 (이도이동)",33.50348,126.537,정좌표
717504,써니왕갈비탕,"제주특별자치도 제주시 진남로8길 17-1, 1층 (화북일동)",33.52059,126.5669,정좌표
717506,소담돈까스,"제주특별자치도 제주시 성신로1길 23, 2층 (연동)",33.49194,126.4879,정좌표
717543,봉봉,제주특별자치도 제주시 우도면 우도해안길 630,33.52372,126.9549,정좌표
