name,upjong,address,category,rat_count,rat_avg,Latitude,Longitude
설레임,한식,제주특별자치도 제주시 애월읍 일주서로 5999-1 2층,애월읍,5042,4.6799881,33.4471343,126.3057656
해물섬,한식,제주특별자치도 제주시 애월읍 애월로11길 19 1층,애월읍,43,4.558139535,33.4659677,126.3206294
엄지흑돼지,한식,제주특별자치도 제주시 애월읍 일주서로 6701 1층,애월읍,64,4.6328125,33.4718805,126.3681801
비금향,기타,제주특별자치도 제주시 애월읍 항몽로 133 1층,애월읍,3,4.5,33.4725624,126.4093289
우미노식탁,기타,제주특별자치도 제주시 애월읍 금성5길 42-24 1층,애월읍,127,4.57480315,33.4478775,126.3012418
모슬포항부두식당2호점,중국식,제주특별자치도 제주시 애월읍 애월로 33 1층,애월읍,130,4.688461538,33.4659319,126.3192857
한양뼈감탕,한식,제주특별자치도 제주시 애월읍 하귀로 38,애월읍,23,4.456521739,33.4800276,126.4012957
달빛해녀촌횟집,한식,제주특별자치도 제주시 애월읍 애월해안로 270,애월읍,9,3.944444444,33.4683238,126.3401314
즐거운밥상,탕류(보신용),제주특별자치도 제주시 애월읍 광성로 249 1층,애월읍,1,4,33.4601827,126.4339961
곽지가,중국식,제주특별자치도 제주시 애월읍 일주서로 6025,애월읍,10,4.5,33.4487544,126.307815
연다라,기타,제주특별자치도 제주시 애월읍 하가로 167-2 1층,애월읍,10,4.9,33.4552718,126.3482713
솔향바다가든,한식,제주특별자치도 제주시 애월읍 일주서로 6113 지하1층,애월읍,9,4.388888889,33.4565568,126.309107
바이탈,기타,제주특별자치도 제주시 애월읍 애월해안로 664 지하1층,애월읍,3,5,33.4782235,126.3665625
애월리식당,기타,제주특별자치도 제주시 애월읍 애월해안로 907 1층,애월읍,10,4.8,33.484835,126.3925123
별인애월,기타,제주특별자치도 제주시 애월읍 신용로 25 1층,애월읍,9,4.944444444,33.4687216,126.3668421
키친앤정지,기타,제주특별자치도 제주시 애월읍 일주서로 5990 1층,애월읍,7,4.642857143,33.4461141,126.3055907
애월짬뽕,기타,제주특별자치도 제주시 애월읍 유수암평화5길 15-22 1층,애월읍,10,4.15,33.4227938,126.4053905
애월꼴통돼지,기타,제주특별자치도 제주시 애월읍 애월로7길 10 1층,애월읍,3,4.666666667,33.4651308,126.3191439
일품순두부하귀점,기타,제주특별자치도 제주시 애월읍 하귀9길 18 1층,애월읍,9,3.833333333,33.4826863,126.415916
애월오누이,한식,제주특별자치도 제주시 애월읍 애월로9길 54 나동 1층,애월읍,10,4.6,33.4666642,126.3188712
추닭집하귀점,기타,제주특별자치도 제주시 애월읍 하광로 37,애월읍,8,4.4375,33.4714582,126.4186381
광령힐식당,기타,제주특별자치도 제주시 애월읍 광령남7길 1 나동 1층,애월읍,2,5,33.4469975,126.4322086
골든팝,기타,제주특별자치도 제주시 애월읍 하귀로 30 1층 제1호,애월읍,7,4.714285714,33.4799386,126.4006906
하늘만큼땅만큼,기타,제주특별자치도 제주시 애월읍 가문동상4길 5 2층,애월읍,9,5,33.4846961,126.3876815
칠돈가유수암점,기타,제주특별자치도 제주시 애월읍 유수암평화5길 8 1층,애월읍,10,5,33.424382,126.4051687
