Column2,name,upjong,address_x,category,평점_건수,평점_합계,평점_평균,평점_표준편차,Latitude,Longitude,상태
0,설레임,한식,"제주특별자치도 제주시 애월읍 일주서로 5999-1, 2층",애월읍,5042,23596.5,4.6799881,0.904803334,33.4471343,126.3057656,정좌표
1,해물섬,한식,"제주특별자치도 제주시 애월읍 애월로11길 19, 1층",애월읍,43,196,4.558139535,0.757575254,33.4659677,126.3206294,정좌표
2,엄지흑돼지,한식,"제주특별자치도 제주시 애월읍 일주서로 6701, 1층",애월읍,64,296.5,4.6328125,0.87850065,33.4718805,126.3681801,정좌표
3,비금향,기타,"제주특별자치도 제주시 애월읍 항몽로 133, 1층",애월읍,3,13.5,4.5,0.5,33.4725624,126.4093289,정좌표
4,우미노식탁,기타,"제주특별자치도 제주시 애월읍 금성5길 42-24, 1층",애월읍,127,581,4.57480315,0.821532492,33.4478775,126.3012418,정좌표
5,모슬포항부두식당2호점,중국식,"제주특별자치도 제주시 애월읍 애월로 33, 1층",애월읍,130,609.5,4.688461538,0.807583688,33.4659319,126.3192857,정좌표
6,한양뼈감탕,한식,제주특별자치도 제주시 애월읍 하귀로 38,애월읍,23,102.5,4.456521739,0.87792425,33.4800276,126.4012957,정좌표
7,달빛해녀촌횟집,한식,제주특별자치도 제주시 애월읍 애월해안로 270,애월읍,9,35.5,3.944444444,1.401883653,33.4683238,126.3401314,정좌표
8,즐거운밥상,탕류(보신용),"제주특별자치도 제주시 애월읍 광성로 249, 1층",애월읍,1,4,4,,33.4601827,126.4339961,정좌표
9,곽지가,중국식,제주특별자치도 제주시 애월읍 일주서로 6025,애월읍,10,45,4.5,0.942809042,33.4487544,126.307815,정좌표
10,연다라,기타,"제주특별자치도 제주시 애월읍 하가로 167-2, 1층",애월읍,10,49,4.9,0.316227766,33.4552718,126.3482713,정좌표
11,솔향바다가든,한식,"제주특별자치도 제주시 애월읍 일주서로 6113, 지하1층",애월읍,9,39.5,4.388888889,1.474317168,33.4565568,126.309107,정좌표
12,바이탈,기타,"제주특별자치도 제주시 애월읍 애월해안로 664, 지하1층",애월읍,3,15,5,0,33.4782235,126.3665625,정좌표
13,애월리식당,기타,"제주특별자치도 제주시 애월읍 애월해안로 907, 1층",애월읍,10,48,4.8,0.25819889,33.484835,126.3925123,정좌표
14,별인애월,기타,"제주특별자치도 제주시 애월읍 신용로 25, 1층",애월읍,9,44.5,4.944444444,0.166666667,33.4687216,126.3668421,정좌표
15,키친앤정지,기타,"제주특별자치도 제주시 애월읍 일주서로 5990, 1층",애월읍,7,32.5,4.642857143,0.377964473,33.4461141,126.3055907,정좌표
16,애월짬뽕,기타,"제주특별자치도 제주시 애월읍 유수암평화5길 15-22, 1층",애월읍,10,41.5,4.15,1.081408547,33.4227938,126.4053905,정좌표
17,애월꼴통돼지,기타,"제주특별자치도 제주시 애월읍 애월로7길 10, 1층",애월읍,3,14,4.666666667,0.577350269,33.4651308,126.3191439,정좌표
18,일품순두부하귀점,기타,"제주특별자치도 제주시 애월읍 하귀9길 18, 1층",애월읍,9,34.5,3.833333333,1.639359631,33.4826863,126.415916,정좌표
19,애월오누이,한식,"제주특별자치도 제주시 애월읍 애월로9길 54, 나동 1층",애월읍,10,46,4.6,0.567646212,33.4666642,126.3188712,정좌표
20,추닭집하귀점,기타,제주특별자치도 제주시 애월읍 하광로 37,애월읍,8,35.5,4.4375,0.8634441,33.4714582,126.4186381,정좌표
21,광령힐식당,기타,"제주특별자치도 제주시 애월읍 광령남7길 1, 나동 1층",애월읍,2,10,5,0,33.4469975,126.4322086,정좌표
22,골든팝,기타,"제주특별자치도 제주시 애월읍 하귀로 30, 1층 제1호",애월읍,7,33,4.714285714,0.393397896,33.4799386,126.4006906,정좌표
23,하늘만큼땅만큼,기타,"제주특별자치도 제주시 애월읍 가문동상4길 5, 2층",애월읍,9,45,5,0,33.4846961,126.3876815,정좌표
24,칠돈가유수암점,기타,"제주특별자치도 제주시 애월읍 유수암평화5길 8, 1층",애월읍,10,50,5,0,33.424382,126.4051687,정좌표
25,한끼국밥하귀외도점,기타,"제주특별자치도 제주시 애월읍 하귀동남1길 2-5, 1층",애월읍,9,43.5,4.833333333,0.353553391,33.4841816,126.4123496,정좌표
26,용철이네횟집,기타,"제주특별자치도 제주시 애월읍 하귀동남1길 25, 1층",애월읍,9,45,5,0,33.48518,126.4146088,정좌표
27,스나쿠타카,기타,"제주특별자치도 제주시 애월읍 일주서로 7063, 1층",애월읍,10,42,4.2,1.456784892,33.4836002,126.4040726,정좌표
28,육장갈비하귀점,기타,"제주특별자치도 제주시 애월읍 하광로 19, 1층",애월읍,10,41,4.1,0.994428926,33.4621944,126.4227085,정좌표
29,황동차이나,중국식,"제주특별자치도 제주시 애월읍 장소로 88, 1층",애월읍,10,44.5,4.45,0.437797518,33.4343134,126.3827145,정좌표
30,마트료식당,기타,"제주특별자치도 제주시 애월읍 유수암로 138, 1층",애월읍,10,50,5,0,33.4322292,126.4015501,정좌표
31,연월,기타,"제주특별자치도 제주시 애월읍 고하상로 102, 1층",애월읍,9,39.5,4.388888889,0.740682868,33.4570309,126.3469195,정좌표
32,하귀포장마차,한식,제주특별자치도 제주시 애월읍 항몽로 27,애월읍,2,10,5,0,33.4811919,126.405453,정좌표
33,하귀1629,기타,"제주특별자치도 제주시 애월읍 하귀12길 22, 1층",애월읍,26,118.5,4.557692308,0.683036208,33.4863013,126.4087743,정좌표
34,순여네국수,한식,"제주특별자치도 제주시 애월읍 고하상로 125-1, 1층",애월읍,2,9,4.5,0.707106781,33.4554941,126.3492544,정좌표
35,통큰뼈감탕,한식,"제주특별자치도 제주시 애월읍 하귀동남1길 50-9, 1층",애월읍,16,68.5,4.28125,1.168599589,33.48518,126.4146088,정좌표
36,구엄애초밥,식육(숯불구이),"제주특별자치도 제주시 애월읍 애월해안로 715, 지하1층",애월읍,13,52,4,1.486046208,33.4840282,126.3774019,정좌표
37,엄가네,한식,"제주특별자치도 제주시 애월읍 일주서로 6281, 1층",애월읍,10,39.5,3.95,1.517490619,33.4621806,126.3252437,정좌표
38,애월포구횟집,식육(숯불구이),"제주특별자치도 제주시 애월읍 애월로11길 22, 2층",애월읍,104,507,4.875,0.491431434,33.4600513,126.3113009,정좌표
39,뿔난돼지,식육(숯불구이),"제주특별자치도 제주시 애월읍 고내로7길 45, 1층",애월읍,82,393,4.792682927,0.471085033,33.4665819,126.3370935,정좌표
40,송화,한식,"제주특별자치도 제주시 애월읍 유수암평화5길 20, 1층",애월읍,7,34,4.857142857,0.377964473,33.424382,126.4051687,정좌표
41,연화반점,기타,"제주특별자치도 제주시 애월읍 하가로 215, 1층",애월읍,18,80,4.444444444,0.764831563,33.4587799,126.3533392,정좌표
42,돈삼겹하귀점,한식,"제주특별자치도 제주시 애월읍 하귀9길 52, 1층",애월읍,24,108,4.5,0.589767825,33.4826863,126.415916,정좌표
43,주관이네,한식,"제주특별자치도 제주시 애월읍 천덕로 45, 1층",애월읍,1,4,4,,33.4446794,126.310259,정좌표
44,제주돈아고내점,식육(숯불구이),"제주특별자치도 제주시 애월읍 애월해안로 212-1, 1층",애월읍,76,324.5,4.269736842,1.065960567,33.4782235,126.3665625,정좌표
45,꽃밥,한식,제주특별자치도 제주시 애월읍 일주서로 6059,애월읍,79,370.5,4.689873418,0.550662756,33.4515529,126.3085533,정좌표
46,도도돈까스,한식,"제주특별자치도 제주시 애월읍 광령중길 133-1, 101동 1층 101~102호",애월읍,17,76.5,4.5,0.847791248,33.4538948,126.4351433,정좌표
47,장인의집,기타,"제주특별자치도 제주시 애월읍 애월로19길 31, 1층",애월읍,2741,11974.5,4.368661073,1.118885327,33.4657644,126.326928,정좌표
48,어클락,기타,"제주특별자치도 제주시 애월읍 고성북동길 18, 1층",애월읍,32,156.5,4.890625,0.304121554,33.4628364,126.4181246,정좌표
49,느영나영해장국,한식,제주특별자치도 제주시 애월읍 항몽로 33,애월읍,8,31.5,3.9375,1.498511166,33.4808697,126.4057827,정좌표
50,하귀동태찌개,한식,"제주특별자치도 제주시 애월읍 하귀로 63, 1층",애월읍,3,13.5,4.5,0.5,33.4809631,126.4038595,정좌표
51,밥먹자,한식,제주특별자치도 제주시 애월읍 평화로 2535-2,애월읍,10,43.5,4.35,0.668746755,33.435485,126.4220965,정좌표
52,와썹비치하우스,기타,"제주특별자치도 제주시 애월읍 곽지1길 30, 1층",애월읍,10,50,5,0,33.4488627,126.3042586,정좌표
53,뜨락,기타,"제주특별자치도 제주시 애월읍 하귀동남2길 1, 1층",애월읍,8,38.5,4.8125,0.372011905,33.4806472,126.4124765,정좌표
54,하귀비바리,중국식,제주특별자치도 제주시 애월읍 하귀9길 11,애월읍,10,45,4.5,0.666666667,33.4830763,126.4136997,정좌표
55,어멍이뽑는막국수,한식,제주특별자치도 제주시 애월읍 하귀동남3길 6,애월읍,9,39.5,4.388888889,0.697216689,33.4849584,126.4155823,정좌표
56,종이시계,한식,"제주특별자치도 제주시 애월읍 애월해안로 899, 2~3층",애월읍,10,41.5,4.15,1.355031775,33.4853375,126.3918721,정좌표
57,하귀애애,한식,"제주특별자치도 제주시 애월읍 하귀로 43-2, 1층",애월읍,7,34.5,4.928571429,0.188982237,33.4805276,126.4021784,정좌표
58,윈드스톤,기타,"제주특별자치도 제주시 애월읍 광성로 272, 1층",애월읍,10,43,4.3,1.032795559,33.4603788,126.4361793,정좌표
59,맛의고수,기타,"제주특별자치도 제주시 애월읍 애월로 29, 지하1층",애월읍,10,46.5,4.65,0.579750904,33.4623497,126.3103487,정좌표
60,애월집,한식,"제주특별자치도 제주시 애월읍 애월해안로 690, 지하1층",애월읍,10,44.5,4.45,0.831664997,33.482065,126.3756375,정좌표
61,서황,한식,"제주특별자치도 제주시 애월읍 장소로 205-2, 1층",애월읍,10,41.5,4.15,0.914391115,33.4348196,126.3800658,정좌표
62,탄트라,경양식,"제주특별자치도 제주시 애월읍 애월해안로 394, 지하2층",애월읍,7,33,4.714285714,0.755928946,33.4782235,126.3665625,정좌표
63,에코힐글램핑,한식,"제주특별자치도 제주시 애월읍 광령평화8길 22, 1층",애월읍,10,39,3.9,1.744833644,33.4349896,126.4419166,정좌표
64,솔또롱밥집,한식,"제주특별자치도 제주시 애월읍 하귀로 34, 1층",애월읍,5,25,5,0,33.4800007,126.4008917,정좌표
65,애월한아름식당,한식,"제주특별자치도 제주시 애월읍 애원로 41, 2층",애월읍,3,15,5,0,33.460321,126.3215331,정좌표
66,도레아,한식,"제주특별자치도 제주시 애월읍 하소로 5, 1층 제1호",애월읍,9,43,4.777777778,0.440958552,33.4795069,126.3999992,정좌표
67,노형한빛식당,한식,"제주특별자치도 제주시 애월읍 유수암평화5길 88, 1층",애월읍,6,29.5,4.916666667,0.204124145,33.424382,126.4051687,정좌표
68,쿠오모,기타,"제주특별자치도 제주시 애월읍 구엄동1길 7, 1층",애월읍,10,40.5,4.05,0.831664997,33.4756784,126.3778351,정좌표
69,블루사이공,한식,"제주특별자치도 제주시 애월읍 중산간서로 6333, 2층",애월읍,10,46.5,4.65,0.474341649,33.4577429,126.4081487,정좌표
70,쏘렐라,한식,"제주특별자치도 제주시 애월읍 애상로 87, 1층",애월읍,10,48,4.8,0.349602949,33.457827,126.332473,정좌표
71,소문난맛집,한식,"제주특별자치도 제주시 애월읍 애월해안로 945-2, 1층",애월읍,10,50,5,0,33.4836152,126.3965099,정좌표
72,어머니의뜻을담다단지,경양식,"제주특별자치도 제주시 애월읍 하귀2길 66, 1층",애월읍,10,43,4.3,1.33749351,33.4893386,126.4119402,정좌표
